run_id,model_name,scenario_id
1,Gemma 3 12B IT,CM_APSIDAL_001
2,Gemma 3 12B IT,CM_APSIDAL_001
3,Gemma 3 12B IT,CM_APSIDAL_001
4,Gemma 3 12B IT,CM_APSIDAL_001
5,Gemma 3 27B IT,CM_APSIDAL_001
6,Gemma 3 27B IT,CM_APSIDAL_001
7,Gemma 4 31B IT,CM_APSIDAL_001
8,Gemma 4 31B IT,CM_APSIDAL_001
9,Granite 4.1 8B,CM_APSIDAL_001
10,Granite 4.1 8B,CM_APSIDAL_001
11,Granite 4.1 8B,CM_APSIDAL_001
12,Granite 4.1 8B,CM_APSIDAL_001
13,Llama 3.1 8B Instruct,CM_APSIDAL_001
14,Llama 3.1 8B Instruct,CM_APSIDAL_001
15,Llama 3.1 8B Instruct,CM_APSIDAL_001
16,Llama 3.1 8B Instruct,CM_APSIDAL_001
17,Ministral 3 8B,CM_APSIDAL_001
18,Ministral 3 8B,CM_APSIDAL_001
19,Ministral 3 8B,CM_APSIDAL_001
20,Ministral 3 8B,CM_APSIDAL_001
21,Mistral NeMo 12B,CM_APSIDAL_001
22,Mistral NeMo 12B,CM_APSIDAL_001
23,Mistral NeMo 12B,CM_APSIDAL_001
24,Mistral NeMo 12B,CM_APSIDAL_001
25,Mistral Small 3.2 24B Instruct,CM_APSIDAL_001
26,Mistral Small 3.2 24B Instruct,CM_APSIDAL_001
27,NVIDIA Nemotron 3 Nano 30B-A3B,CM_APSIDAL_001
28,NVIDIA Nemotron 3 Nano 30B-A3B,CM_APSIDAL_001
33,Gemma 3 12B IT,CM_FOUCAULT_001
34,Gemma 3 12B IT,CM_FOUCAULT_001
35,Gemma 3 12B IT,CM_FOUCAULT_001
36,Gemma 3 27B IT,CM_FOUCAULT_001
37,Gemma 4 31B IT,CM_FOUCAULT_001
38,Granite 4.1 8B,CM_FOUCAULT_001
39,Granite 4.1 8B,CM_FOUCAULT_001
40,Granite 4.1 8B,CM_FOUCAULT_001
41,Llama 3.1 8B Instruct,CM_FOUCAULT_001
42,Llama 3.1 8B Instruct,CM_FOUCAULT_001
43,Llama 3.1 8B Instruct,CM_FOUCAULT_001
44,Ministral 3 8B,CM_FOUCAULT_001
45,Ministral 3 8B,CM_FOUCAULT_001
46,Ministral 3 8B,CM_FOUCAULT_001
47,Mistral NeMo 12B,CM_FOUCAULT_001
48,Mistral NeMo 12B,CM_FOUCAULT_001
49,Mistral NeMo 12B,CM_FOUCAULT_001
50,Mistral Small 3.2 24B Instruct,CM_FOUCAULT_001
51,NVIDIA Nemotron 3 Nano 30B-A3B,CM_FOUCAULT_001
54,Gemma 3 12B IT,CM_KAPITZA_001
55,Gemma 3 12B IT,CM_KAPITZA_001
56,Gemma 3 12B IT,CM_KAPITZA_001
57,Gemma 3 27B IT,CM_KAPITZA_001
58,Gemma 4 31B IT,CM_KAPITZA_001
59,Granite 4.1 8B,CM_KAPITZA_001
60,Granite 4.1 8B,CM_KAPITZA_001
61,Granite 4.1 8B,CM_KAPITZA_001
62,Llama 3.1 8B Instruct,CM_KAPITZA_001
63,Llama 3.1 8B Instruct,CM_KAPITZA_001
64,Llama 3.1 8B Instruct,CM_KAPITZA_001
65,Ministral 3 8B,CM_KAPITZA_001
66,Ministral 3 8B,CM_KAPITZA_001
67,Ministral 3 8B,CM_KAPITZA_001
68,Mistral NeMo 12B,CM_KAPITZA_001
69,Mistral NeMo 12B,CM_KAPITZA_001
70,Mistral NeMo 12B,CM_KAPITZA_001
71,Mistral Small 3.2 24B Instruct,CM_KAPITZA_001
72,NVIDIA Nemotron 3 Nano 30B-A3B,CM_KAPITZA_001
75,Gemma 3 12B IT,CM_TOP_001
76,Gemma 3 12B IT,CM_TOP_001
77,Gemma 3 12B IT,CM_TOP_001
78,Gemma 3 27B IT,CM_TOP_001
79,Gemma 4 31B IT,CM_TOP_001
80,Granite 4.1 8B,CM_TOP_001
81,Granite 4.1 8B,CM_TOP_001
82,Llama 3.1 8B Instruct,CM_TOP_001
83,Llama 3.1 8B Instruct,CM_TOP_001
84,Llama 3.1 8B Instruct,CM_TOP_001
85,Ministral 3 8B,CM_TOP_001
86,Ministral 3 8B,CM_TOP_001
87,Ministral 3 8B,CM_TOP_001
88,Mistral NeMo 12B,CM_TOP_001
89,Mistral NeMo 12B,CM_TOP_001
90,Mistral NeMo 12B,CM_TOP_001
91,Mistral Small 3.2 24B Instruct,CM_TOP_001
92,NVIDIA Nemotron 3 Nano 30B-A3B,CM_TOP_001
95,Gemma 3 12B IT,COS_AGE_001
96,Gemma 3 12B IT,COS_AGE_001
97,Gemma 3 27B IT,COS_AGE_001
98,Gemma 4 31B IT,COS_AGE_001
99,Granite 4.1 8B,COS_AGE_001
100,Granite 4.1 8B,COS_AGE_001
101,Granite 4.1 8B,COS_AGE_001
102,Llama 3.1 8B Instruct,COS_AGE_001
103,Llama 3.1 8B Instruct,COS_AGE_001
104,Llama 3.1 8B Instruct,COS_AGE_001
105,Ministral 3 8B,COS_AGE_001
106,Ministral 3 8B,COS_AGE_001
107,Ministral 3 8B,COS_AGE_001
108,Mistral NeMo 12B,COS_AGE_001
109,Mistral NeMo 12B,COS_AGE_001
110,Mistral NeMo 12B,COS_AGE_001
111,Mistral Small 3.2 24B Instruct,COS_AGE_001
112,NVIDIA Nemotron 3 Nano 30B-A3B,COS_AGE_001
115,Gemma 3 12B IT,COS_CMB_001
116,Gemma 3 12B IT,COS_CMB_001
117,Gemma 3 12B IT,COS_CMB_001
118,Gemma 3 27B IT,COS_CMB_001
119,Gemma 4 31B IT,COS_CMB_001
120,Granite 4.1 8B,COS_CMB_001
121,Granite 4.1 8B,COS_CMB_001
122,Granite 4.1 8B,COS_CMB_001
123,Llama 3.1 8B Instruct,COS_CMB_001
124,Llama 3.1 8B Instruct,COS_CMB_001
125,Llama 3.1 8B Instruct,COS_CMB_001
126,Ministral 3 8B,COS_CMB_001
127,Ministral 3 8B,COS_CMB_001
128,Ministral 3 8B,COS_CMB_001
129,Mistral NeMo 12B,COS_CMB_001
130,Mistral NeMo 12B,COS_CMB_001
131,Mistral NeMo 12B,COS_CMB_001
132,Mistral Small 3.2 24B Instruct,COS_CMB_001
133,NVIDIA Nemotron 3 Nano 30B-A3B,COS_CMB_001
136,Gemma 3 12B IT,COS_DESITTER_001
137,Gemma 3 12B IT,COS_DESITTER_001
138,Gemma 3 12B IT,COS_DESITTER_001
139,Gemma 3 27B IT,COS_DESITTER_001
140,Gemma 4 31B IT,COS_DESITTER_001
141,Granite 4.1 8B,COS_DESITTER_001
142,Granite 4.1 8B,COS_DESITTER_001
143,Granite 4.1 8B,COS_DESITTER_001
144,Llama 3.1 8B Instruct,COS_DESITTER_001
145,Llama 3.1 8B Instruct,COS_DESITTER_001
146,Llama 3.1 8B Instruct,COS_DESITTER_001
147,Ministral 3 8B,COS_DESITTER_001
148,Ministral 3 8B,COS_DESITTER_001
149,Ministral 3 8B,COS_DESITTER_001
150,Mistral NeMo 12B,COS_DESITTER_001
151,Mistral NeMo 12B,COS_DESITTER_001
152,Mistral NeMo 12B,COS_DESITTER_001
153,Mistral Small 3.2 24B Instruct,COS_DESITTER_001
154,NVIDIA Nemotron 3 Nano 30B-A3B,COS_DESITTER_001
157,Gemma 3 12B IT,COS_DL_001
158,Gemma 3 12B IT,COS_DL_001
159,Gemma 3 12B IT,COS_DL_001
160,Gemma 3 27B IT,COS_DL_001
161,Gemma 4 31B IT,COS_DL_001
162,Granite 4.1 8B,COS_DL_001
163,Granite 4.1 8B,COS_DL_001
164,Llama 3.1 8B Instruct,COS_DL_001
165,Llama 3.1 8B Instruct,COS_DL_001
166,Llama 3.1 8B Instruct,COS_DL_001
167,Ministral 3 8B,COS_DL_001
168,Ministral 3 8B,COS_DL_001
169,Ministral 3 8B,COS_DL_001
170,Mistral NeMo 12B,COS_DL_001
171,Mistral NeMo 12B,COS_DL_001
172,Mistral NeMo 12B,COS_DL_001
173,Mistral Small 3.2 24B Instruct,COS_DL_001
174,NVIDIA Nemotron 3 Nano 30B-A3B,COS_DL_001
176,Gemma 3 12B IT,GR_CHIRP_001
177,Gemma 3 12B IT,GR_CHIRP_001
178,Gemma 3 12B IT,GR_CHIRP_001
179,Gemma 3 27B IT,GR_CHIRP_001
180,Gemma 4 31B IT,GR_CHIRP_001
181,Granite 4.1 8B,GR_CHIRP_001
182,Granite 4.1 8B,GR_CHIRP_001
183,Granite 4.1 8B,GR_CHIRP_001
184,Llama 3.1 8B Instruct,GR_CHIRP_001
186,Llama 3.1 8B Instruct,GR_CHIRP_001
189,Ministral 3 8B,GR_CHIRP_001
190,Mistral NeMo 12B,GR_CHIRP_001
191,Mistral NeMo 12B,GR_CHIRP_001
192,Mistral NeMo 12B,GR_CHIRP_001
193,Mistral Small 3.2 24B Instruct,GR_CHIRP_001
194,NVIDIA Nemotron 3 Nano 30B-A3B,GR_CHIRP_001
196,Gemma 3 12B IT,GR_GPS_001
197,Gemma 3 12B IT,GR_GPS_001
198,Gemma 3 12B IT,GR_GPS_001
