run_id,model_name,block_status,field_index,field_name,raw_value,value_num,value_status
1,Gemma 3 12B IT,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
1,Gemma 3 12B IT,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
1,Gemma 3 12B IT,OK,2,apsidal_n_minus1_deg,127.28,127.28,NUMERIC
1,Gemma 3 12B IT,OK,3,precession_per_period_deg,-105.44,-105.44,NUMERIC
2,Gemma 3 12B IT,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
2,Gemma 3 12B IT,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
2,Gemma 3 12B IT,OK,2,apsidal_n_minus1_deg,127.28,127.28,NUMERIC
2,Gemma 3 12B IT,OK,3,precession_per_period_deg,-105.44,-105.44,NUMERIC
3,Gemma 3 12B IT,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
3,Gemma 3 12B IT,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
3,Gemma 3 12B IT,OK,2,apsidal_n_minus1_deg,127.28,127.28,NUMERIC
3,Gemma 3 12B IT,OK,3,precession_per_period_deg,-127.28,-127.28,NUMERIC
4,Gemma 3 12B IT,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
4,Gemma 3 12B IT,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
4,Gemma 3 12B IT,OK,2,apsidal_n_minus1_deg,127.28,127.28,NUMERIC
4,Gemma 3 12B IT,OK,3,precession_per_period_deg,-105.44,-105.44,NUMERIC
5,Gemma 3 27B IT,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
5,Gemma 3 27B IT,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
5,Gemma 3 27B IT,OK,2,apsidal_n_minus1_deg,127.279,127.279,NUMERIC
5,Gemma 3 27B IT,OK,3,precession_per_period_deg,-105.442,-105.442,NUMERIC
6,Gemma 3 27B IT,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
6,Gemma 3 27B IT,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
6,Gemma 3 27B IT,OK,2,apsidal_n_minus1_deg,127.279,127.279,NUMERIC
6,Gemma 3 27B IT,OK,3,precession_per_period_deg,-105.442,-105.442,NUMERIC
7,Gemma 4 31B IT,OK,0,apsidal_kepler_deg,180^\circ,180.0,NUMERIC
7,Gemma 4 31B IT,OK,1,apsidal_harmonic_deg,90^\circ,90.0,NUMERIC
7,Gemma 4 31B IT,OK,2,apsidal_n_minus1_deg,127.28^\circ,127.28,NUMERIC
7,Gemma 4 31B IT,OK,3,precession_per_period_deg,-105.44^\circ,-105.44,NUMERIC
8,Gemma 4 31B IT,OK,0,apsidal_kepler_deg,180^\circ,180.0,NUMERIC
8,Gemma 4 31B IT,OK,1,apsidal_harmonic_deg,90^\circ,90.0,NUMERIC
8,Gemma 4 31B IT,OK,2,apsidal_n_minus1_deg,127.28^\circ,127.28,NUMERIC
8,Gemma 4 31B IT,OK,3,precession_per_period_deg,-105.44^\circ,-105.44,NUMERIC
9,Granite 4.1 8B,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
9,Granite 4.1 8B,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
9,Granite 4.1 8B,OK,2,apsidal_n_minus1_deg,127.28,127.28,NUMERIC
9,Granite 4.1 8B,OK,3,precession_per_period_deg,105.44,105.44,NUMERIC
10,Granite 4.1 8B,OK,0,apsidal_kepler_deg,180.0,180.0,NUMERIC
10,Granite 4.1 8B,OK,1,apsidal_harmonic_deg,90.0,90.0,NUMERIC
10,Granite 4.1 8B,OK,2,apsidal_n_minus1_deg,127.28,127.28,NUMERIC
10,Granite 4.1 8B,OK,3,precession_per_period_deg,-105.44,-105.44,NUMERIC
11,Granite 4.1 8B,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
11,Granite 4.1 8B,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
11,Granite 4.1 8B,OK,2,apsidal_n_minus1_deg,127.28,127.28,NUMERIC
11,Granite 4.1 8B,OK,3,precession_per_period_deg,-105.44,-105.44,NUMERIC
12,Granite 4.1 8B,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
12,Granite 4.1 8B,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
12,Granite 4.1 8B,OK,2,apsidal_n_minus1_deg,127.28,127.28,NUMERIC
12,Granite 4.1 8B,OK,3,precession_per_period_deg,105.44,105.44,NUMERIC
13,Llama 3.1 8B Instruct,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
13,Llama 3.1 8B Instruct,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
13,Llama 3.1 8B Instruct,OK,2,apsidal_n_minus1_deg,101.91,101.91,NUMERIC
13,Llama 3.1 8B Instruct,OK,3,precession_per_period_deg,-156.18,-156.18,NUMERIC
14,Llama 3.1 8B Instruct,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
14,Llama 3.1 8B Instruct,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
14,Llama 3.1 8B Instruct,OK,2,apsidal_n_minus1_deg,63.435,63.435,NUMERIC
14,Llama 3.1 8B Instruct,OK,3,precession_per_period_deg,-267.9,-267.9,NUMERIC
15,Llama 3.1 8B Instruct,OK,0,apsidal_kepler_deg,360,360.0,NUMERIC
15,Llama 3.1 8B Instruct,OK,1,apsidal_harmonic_deg,180,180.0,NUMERIC
15,Llama 3.1 8B Instruct,OK,2,apsidal_n_minus1_deg,157.08,157.08,NUMERIC
