run_id,model,scenario_id,field,gold_value,model_raw,model_eval,verdict,note
1,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
1,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
1,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.28,127.28,MATCH,numeric
1,Gemma 3 12B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.44,-105.44,MATCH,numeric
2,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
2,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
2,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.28,127.28,MATCH,numeric
2,Gemma 3 12B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.44,-105.44,MATCH,numeric
3,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
3,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
3,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.28,127.28,MATCH,numeric
3,Gemma 3 12B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-127.28,-127.28,MISMATCH,numeric
4,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
4,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
4,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.28,127.28,MATCH,numeric
4,Gemma 3 12B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.44,-105.44,MATCH,numeric
5,Gemma 3 27B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
5,Gemma 3 27B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
5,Gemma 3 27B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.279,127.279,MATCH,numeric
5,Gemma 3 27B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.442,-105.442,MATCH,numeric
6,Gemma 3 27B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
6,Gemma 3 27B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
6,Gemma 3 27B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.279,127.279,MATCH,numeric
6,Gemma 3 27B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.442,-105.442,MATCH,numeric
7,Gemma 4 31B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180^\circ,180.0,MATCH,numeric
7,Gemma 4 31B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90^\circ,90.0,MATCH,numeric
7,Gemma 4 31B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.28^\circ,127.28,MATCH,numeric
7,Gemma 4 31B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.44^\circ,-105.44,MATCH,numeric
8,Gemma 4 31B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180^\circ,180.0,MATCH,numeric
8,Gemma 4 31B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90^\circ,90.0,MATCH,numeric
8,Gemma 4 31B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.28^\circ,127.28,MATCH,numeric
8,Gemma 4 31B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.44^\circ,-105.44,MATCH,numeric
9,Granite 4.1 8B,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
9,Granite 4.1 8B,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
9,Granite 4.1 8B,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.28,127.28,MATCH,numeric
9,Granite 4.1 8B,CM_APSIDAL_001,precession_per_period_deg,-105.441559,105.44,105.44,MISMATCH,numeric
10,Granite 4.1 8B,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180.0,180.0,MATCH,numeric
10,Granite 4.1 8B,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90.0,90.0,MATCH,numeric
10,Granite 4.1 8B,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.28,127.28,MATCH,numeric
10,Granite 4.1 8B,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.44,-105.44,MATCH,numeric
11,Granite 4.1 8B,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
11,Granite 4.1 8B,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
11,Granite 4.1 8B,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.28,127.28,MATCH,numeric
11,Granite 4.1 8B,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.44,-105.44,MATCH,numeric
12,Granite 4.1 8B,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
12,Granite 4.1 8B,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
12,Granite 4.1 8B,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.28,127.28,MATCH,numeric
12,Granite 4.1 8B,CM_APSIDAL_001,precession_per_period_deg,-105.441559,105.44,105.44,MISMATCH,numeric
13,Llama 3.1 8B Instruct,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
13,Llama 3.1 8B Instruct,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
13,Llama 3.1 8B Instruct,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,101.91,101.91,MISMATCH,numeric
13,Llama 3.1 8B Instruct,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-156.18,-156.18,MISMATCH,numeric
14,Llama 3.1 8B Instruct,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
14,Llama 3.1 8B Instruct,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
14,Llama 3.1 8B Instruct,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,63.435,63.435,MISMATCH,numeric
14,Llama 3.1 8B Instruct,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-267.9,-267.9,MISMATCH,numeric
15,Llama 3.1 8B Instruct,CM_APSIDAL_001,apsidal_kepler_deg,180.0,360,360.0,MISMATCH,numeric
15,Llama 3.1 8B Instruct,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,180,180.0,MISMATCH,numeric
15,Llama 3.1 8B Instruct,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,157.08,157.08,MISMATCH,numeric
15,Llama 3.1 8B Instruct,CM_APSIDAL_001,precession_per_period_deg,-105.441559,14.16,14.16,MISMATCH,numeric
16,Llama 3.1 8B Instruct,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
16,Llama 3.1 8B Instruct,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
16,Llama 3.1 8B Instruct,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,63.435,63.435,MISMATCH,numeric
16,Llama 3.1 8B Instruct,CM_APSIDAL_001,precession_per_period_deg,-105.441559,\mathrm{INVALID},,REVIEW,empty
17,Ministral 3 8B,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
17,Ministral 3 8B,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
17,Ministral 3 8B,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,128.87,128.87,MISMATCH,numeric
17,Ministral 3 8B,CM_APSIDAL_001,precession_per_period_deg,-105.441559,102.26,102.26,MISMATCH,numeric
18,Ministral 3 8B,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
18,Ministral 3 8B,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
18,Ministral 3 8B,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.32,127.32,MATCH,numeric
18,Ministral 3 8B,CM_APSIDAL_001,precession_per_period_deg,-105.441559,105.36,105.36,MISMATCH,numeric
19,Ministral 3 8B,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
19,Ministral 3 8B,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
19,Ministral 3 8B,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.32,127.32,MATCH,numeric
19,Ministral 3 8B,CM_APSIDAL_001,precession_per_period_deg,-105.441559,105.36,105.36,MISMATCH,numeric
20,Ministral 3 8B,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180,180.0,MATCH,numeric
20,Ministral 3 8B,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90,90.0,MATCH,numeric
20,Ministral 3 8B,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,\boxed{128.7},128.7,MISMATCH,numeric
20,Ministral 3 8B,CM_APSIDAL_001,precession_per_period_deg,-105.441559,\boxed{102.6},102.6,MISMATCH,numeric
21,Mistral NeMo 12B,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180^\circ,180.0,MATCH,numeric
21,Mistral NeMo 12B,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,360^\circ,360.0,MISMATCH,numeric
21,Mistral NeMo 12B,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.3^\circ,127.3,MATCH,numeric
21,Mistral NeMo 12B,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-232.7^\circ,-232.7,MISMATCH,numeric
22,Mistral NeMo 12B,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180^\circ,180.0,MATCH,numeric
