scenario_id,n_runs,mean_precision,mean_recall,mean_f1,min_f1,max_f1
CM_APSIDAL_001,28,-0.24250854338918412,-0.022308586971900825,-0.13324156513304583,-0.27607694268226624,-0.009021522477269173
CM_FOUCAULT_001,19,-0.24982749749171107,0.006495980325302011,-0.12371508933995899,-0.2197755128145218,-0.050977516919374466
CM_KAPITZA_001,19,-0.32260567812543167,-0.1575239951673307,-0.2396729612036755,-0.27312734723091125,-0.16134876012802124
CM_TOP_001,18,-0.3031403422355652,-0.13323713958056438,-0.21792861943443617,-0.34571802616119385,-0.05023729056119919
COS_AGE_001,18,-0.31306415961848366,-0.1504258443084028,-0.23128683244188628,-0.34166479110717773,-0.10208111256361008
COS_CMB_001,19,-0.25946929737141256,-0.06751341460958908,-0.16382030907430148,-0.2887445092201233,-0.10540330410003662
COS_DESITTER_001,19,-0.41880425967668233,-0.18441350993357206,-0.3027061992569974,-0.4067196846008301,-0.17987139523029327
COS_DL_001,18,-0.2542410468061765,-0.05719720939588216,-0.15608662066774237,-0.2842470109462738,-0.01377861388027668
GR_CHIRP_001,16,-0.21936014015227556,-0.14687484223395586,-0.18154016975313425,-0.2499765157699585,-0.11839260160923004
GR_GPS_001,19,-0.14659023990756587,-0.20535821663705925,-0.17431293820080004,-0.24618637561798096,-0.13471928238868713
GR_ISCO_001,19,-0.3513823224133567,-0.07325387648061703,-0.21498885044926092,-0.3445857763290405,-0.033843159675598145
GR_PERI_001,18,-0.32478763742579353,-0.08981234518190225,-0.20844875110520256,-0.26136210560798645,-0.13605070114135742
QFT_CASIMIR_001,18,-0.11049700321422683,-0.19810056024127537,-0.15287902702887854,-0.2073703557252884,-0.10966561734676361
QFT_G2_001,19,-0.20277288124749535,0.08595140807722744,-0.06125514265946358,-0.20112502574920654,0.02536550536751747
QFT_UNRUH_001,19,-0.2804809840101945,-0.13533341453263634,-0.20716072069971184,-0.27595263719558716,-0.1486179679632187
QFT_YUKAWA_001,24,-0.207414323464036,-0.002880362818056407,-0.10586013613889615,-0.16735391318798065,-0.066645547747612
QI_CLONE_001,18,-0.23742767257822883,-0.10617797242270575,-0.1711395215243101,-0.35317185521125793,-0.05662846192717552
QI_HOLEVO_001,19,-0.34753330953811346,-0.2551916296544828,-0.2999243030422612,-0.37314528226852417,-0.1356569230556488
QI_TELEPORT_001,19,-0.1677176961920371,0.11583879050847731,-0.028830786235630512,-0.1393626630306244,0.08206989616155624
QI_WERNER_001,19,-0.2698102758118981,-0.03141312568301433,-0.15194345579335564,-0.32075828313827515,-0.017535904422402382
QM_AB_001,19,-0.2799914698851736,-0.08024131001806573,-0.1807093182333598,-0.28910332918167114,0.011118598282337189
QM_BERRY_001,19,-0.2760004754129209,-0.012175807239193665,-0.1464680127407375,-0.2560215890407562,-0.07782383263111115
QM_RT_001,19,-0.2844347828312924,-0.19778164515369817,-0.2397426625615672,-0.29516535997390747,-0.17068175971508026
QM_TUNNEL_001,18,-0.33348703384399414,-0.22500530630350113,-0.27808813005685806,-0.342870831489563,-0.16929030418395996
SR_BELL_001,19,-0.195476102593698,0.017923325373742142,-0.0900388479624924,-0.25375252962112427,-0.034662846475839615
SR_FIZEAU_001,19,-0.22796608586060374,0.03733448934202131,-0.09727558173472062,-0.16180503368377686,0.04265384376049042
SR_ROCKET_001,24,-0.2931940959145625,-0.06618963909568265,-0.1806183741427958,-0.2529907524585724,-0.033479753881692886
SR_TWIN_001,19,-0.30755855613633204,-0.05679130283380417,-0.18410520882982956,-0.3217623233795166,-0.09660286456346512
STAT_BEC_001,19,-0.15720278563860215,0.01849715977809147,-0.06930526718497276,-0.14930769801139832,0.028454964980483055
STAT_ISING_001,19,-0.15972660030973584,0.08371536678781635,-0.0398806105000212,-0.24603593349456787,0.062300242483615875
STAT_LANDAUER_001,19,-0.25381160488254145,-0.06397769828081916,-0.159111992308968,-0.2551531493663788,-0.09164094179868698
STAT_NEGT_001,19,-0.04764870706161386,-0.12157262430379265,-0.08317138999700546,-0.12006694823503494,-0.05321691557765007
