batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,bert_f1,bert_precision,bert_recall,rouge_l_f1,chrf_score,source_run_id
V2,SR_ROCKET_001,Special Relativity,Mistral Small 3.2 24B Instruct,FAIL,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,0.9328727126121521,0.9067124724388123,0.959046483039856,0.9453781512605043,0.9478786425598541,8dd9d539-5113-456a-ad1b-2987c0bf85c9
V2,SR_ROCKET_001,Special Relativity,Gemma 3 27B IT,FAIL,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,0.9275230169296265,0.9010995626449585,0.9539461731910706,0.9453781512605043,0.941856856738825,0fdbc6f7-aa2f-4d13-85e3-1de67d52d0f1
V2,COS_CMB_001,Cosmology,Mistral NeMo 12B,FAIL,log10_energy_ratio:MISMATCH;log10_number_ratio:MISMATCH,log10_energy_ratio;log10_number_ratio,0.9269124269485474,0.8945173621177673,0.959426760673523,0.9583333333333334,0.9604795407965007,5bde406e-bcbd-4d75-9974-030635a1f45a
V5,GR_CHIRP_001,General Relativity,Mistral Small 3.2 24B Instruct,FAIL,chirp_mass_msun:MISMATCH;each_mass_msun:MISMATCH;total_mass_msun:MISMATCH,chirp_mass_msun;each_mass_msun;total_mass_msun,0.9213840365409851,0.8950334787368774,0.9477142095565796,0.9517819706498951,0.9342505297932944,6829aa30-fc54-4ffc-9602-72f72f6cd43d
V4,SR_TWIN_001,Special Relativity,Gemma 3 27B IT,FAIL,earth_time_yr:MISMATCH;traveler_time_yr:MISMATCH,earth_time_yr;traveler_time_yr,0.917246401309967,0.8847270011901855,0.9498574733734131,0.9651376146788991,0.9751084394461151,e393f274-ca90-4884-a598-72d0a544a214
V5,COS_AGE_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,0.9105151295661926,0.8843035697937012,0.9366684556007385,0.9466666666666667,0.9373615439882558,1ee8b3c0-af92-4328-a2c2-8a46d9dacbde
V4,COS_DESITTER_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,efolds_to_gh:MISMATCH;gh_temp_e30_K:MISMATCH;horizon_gpc:MISMATCH,efolds_to_gh;gh_temp_e30_K;horizon_gpc,0.9080313444137573,0.8779236674308777,0.9381470680236816,0.9387755102040817,0.9226676326597103,13d804f3-30ad-428a-ad9d-7f48deb28505
V5,COS_AGE_001,Cosmology,Gemma 3 27B IT,FAIL,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,0.9066815376281738,0.8734873533248901,0.9399474859237671,0.9490022172949002,0.9566459294662385,672d5859-333f-4a64-a9bf-0605af9f8987
V5,QM_RT_001,Quantum Mechanics,Mistral Small 3.2 24B Instruct,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,0.9046378135681152,0.8901747465133667,0.9188598990440369,0.95,0.9347036354019523,d765a40d-fb04-4ffc-9811-18c108bbbc6d
V4,STAT_LANDAUER_001,Statistical Mechanics,Gemma 3 27B IT,FAIL,landauer_meV:MISMATCH,landauer_meV,0.895334780216217,0.8630602359771729,0.9276237487792969,0.9473684210526315,0.9630184943393981,1c025782-1745-4b84-8da5-82a9a85a1fb9
V4,QI_HOLEVO_001,Quantum Information Theory,Mistral NeMo 12B,FAIL,avg_state_purity:MISMATCH;eigenvalue_large:MISMATCH;holevo_chi_bits:MISMATCH,avg_state_purity;eigenvalue_large;holevo_chi_bits,0.8941633701324463,0.8882899284362793,0.8997028470039368,0.9458333333333334,0.9346498436177835,cb6bf16d-0fdc-4ac2-8b99-584645552174
