batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,bert_f1,bert_precision,bert_recall,rouge_l_f1,chrf_score,source_run_id
V5,CM_TOP_001,Classical Mechanics,Granite 4.1 8B,PASS,,,-0.19409604370594025,-0.37931057810783386,0.0025744058657437563,0.24506749740394598,0.41027430032129536,5662b68d-3be1-4094-aa82-9419c9d43619
V4,QM_AB_001,Quantum Mechanics,Granite 4.1 8B,PASS,,,-0.1721431463956833,-0.35353392362594604,0.02004874311387539,0.3713450292397661,0.49175930154147585,9fc843b5-b6bd-412e-9421-9525b76fb61a
V4,SR_TWIN_001,Special Relativity,Granite 4.1 8B,PASS,,,-0.16293056309223175,-0.3416900634765625,0.026190105825662613,0.3548698167791707,0.5251869963193966,660bac8a-431e-4e1e-a1b0-4327460893b8
V2,QM_BERRY_001,Quantum Mechanics,Granite 4.1 8B,PASS,,,-0.11703328043222427,-0.3218030035495758,0.10275692492723465,0.25503355704697983,0.40644689979788484,bfead667-22b7-4add-82bd-2984b62eeac1
V4,STAT_LANDAUER_001,Statistical Mechanics,Granite 4.1 8B,PASS,,,-0.09831004589796066,-0.40869084000587463,0.253617525100708,0.5079365079365079,0.778637707637972,c135ca95-a9ca-4c99-aecc-4d07f769530b
V3,COS_DL_001,Cosmology,Granite 4.1 8B,PASS,,,-0.0947883203625679,-0.2589513659477234,0.07747730612754822,0.40425531914893614,0.5041505561930941,34cd051f-7d65-45c5-8ebf-a814fb4f5ed9
V5,QFT_YUKAWA_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,-0.08787588030099869,-0.26262786984443665,0.09661662578582764,0.38061465721040194,0.4522927007520598,61b3ada8-c08a-4081-8967-4f6ba358fb6c
V3,CM_APSIDAL_001,Classical Mechanics,Granite 4.1 8B,PASS,,,-0.08287616819143295,-0.319568008184433,0.17546355724334717,0.4086538461538462,0.5069660256725792,d410a814-2896-4137-8dcd-4ea1e3fde257
V2,COS_CMB_001,Cosmology,Granite 4.1 8B,PASS,,,-0.07554593682289124,-0.22736652195453644,0.0826406255364418,0.4016506189821183,0.5012381027805652,33b7ba26-8ce1-4c4c-aadf-b13a0800ceed
V4,COS_DESITTER_001,Cosmology,Gemma 4 31B IT,PASS,,,-0.06891496479511261,-0.2759111523628235,0.15349797904491425,0.4243119266055046,0.668288906496323,491a2baf-b665-4ce6-837c-9a9d3c21f9ed
V5,SR_FIZEAU_001,Special Relativity,Granite 4.1 8B,PASS,,,-0.057818617671728134,-0.2759401500225067,0.1779176890850067,0.34823529411764703,0.463650617236979,f4735300-fd1d-4083-9bf8-63dcdaae1bf5
V3,QFT_CASIMIR_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,-0.04036323353648186,-0.02262154221534729,-0.06133615970611572,0.2820705176294073,0.44286624664115803,81351b41-e944-416c-979d-7650f60107cb
V3,SR_BELL_001,Special Relativity,Granite 4.1 8B,PASS,,,-0.017498468980193138,-0.2586361765861511,0.24615395069122314,0.43687943262411344,0.6284286888234145,d2552a2b-6eaa-4fa1-a60e-8e906f0bcb87
V5,STAT_NEGT_001,Statistical Mechanics,Granite 4.1 8B,PASS,,,-0.016861718147993088,0.0009020600118674338,-0.03778059035539627,0.28544949026876737,0.45697060622309005,93598232-73aa-45f6-85f0-657ebcc3729c
V2,QFT_G2_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,-0.0167066790163517,-0.23224329948425293,0.2158793956041336,0.40930232558139534,0.5263696119760335,4013320a-823c-4eea-a0f8-eff99460982d
V5,QI_CLONE_001,Quantum Information Theory,Granite 4.1 8B,PASS,,,0.039077017456293106,-0.17160364985466003,0.26581183075904846,0.36070853462157804,0.5239089110207973,b228b816-1a6b-44f1-a48f-78cf05579c97
V2,CM_FOUCAULT_001,Classical Mechanics,Granite 4.1 8B,PASS,,,0.06529010832309723,-0.21662811934947968,0.3795681595802307,0.4669887278582931,0.5765547757826711,6a439759-2c09-40f5-b714-5f0905b08611
V2,QI_TELEPORT_001,Quantum Information Theory,Granite 4.1 8B,PASS,,,0.15785351395606995,-0.04341455549001694,0.37339428067207336,0.4584837545126353,0.5489809146217477,b82bd97e-a127-4a93-adc1-3fd1abd73acc
V3,QI_WERNER_001,Quantum Information Theory,Granite 4.1 8B,PASS,,,0.172477588057518,-0.03103475458920002,0.3906613290309906,0.5363636363636364,0.5884288264396889,dadc5ed2-8765-42cd-b756-8e32ac2d9f45
V2,CM_FOUCAULT_001,Classical Mechanics,Llama 3.1 8B Instruct,PASS,,,0.270087331533432,0.19655674695968628,0.34330469369888306,0.45622119815668205,0.5082019546592954,43b57069-ea6b-42b1-9339-b978dcf9ad74
