scenario_id,category,rows_scored,mean_precision,mean_recall,mean_f1,median_f1,min_f1,max_f1,pass_count,fail_count,pass_mean_f1,fail_mean_f1,PASS_minus_FAIL_mean_F1_gap
CM_APSIDAL_001,Classical Mechanics,8,0.6897928491234779,0.7803213894367218,0.7335366876795888,0.890436977148056,-0.08287616819143295,0.9844576716423035,3,5,0.6170662368337313,0.8034189581871033,-0.186352721353372
CM_FOUCAULT_001,Classical Mechanics,8,0.580170932225883,0.7437965124845505,0.6588834580034018,0.8839786946773529,0.06529010832309723,0.9805923104286194,7,1,0.6286971632923398,0.870187520980835,-0.24149035768849514
CM_KAPITZA_001,Classical Mechanics,8,0.5792647999769542,0.7469429485499859,0.6597817717120051,0.8466506898403168,-0.06008379906415939,0.9408732652664185,1,7,0.6555745601654053,0.660382801932948,-0.004808241767542687
CM_TOP_001,Classical Mechanics,8,0.7489928342401981,0.8167492848879192,0.7821480240672827,0.9367493987083435,-0.19409604370594025,0.9891250729560852,6,2,0.7339868123332659,0.9266316592693329,-0.19264484693606698
COS_AGE_001,Cosmology,8,0.613746892195195,0.7071754322387278,0.6597200213000178,0.8592282235622406,-0.20672689378261566,0.981254518032074,1,7,0.981254518032074,0.613786521766867,0.367467996265207
COS_CMB_001,Cosmology,8,0.6846207734197378,0.7592722158879042,0.7215539598837495,0.8966602385044098,-0.07554664462804794,0.9728729128837585,5,3,0.5915039196610451,0.9383040269215902,-0.3468001072605451
COS_DESITTER_001,Cosmology,8,0.19937532395124435,0.42008915822952986,0.30727205518633127,0.2854336127638817,-0.29742735624313354,0.9508345723152161,1,7,-0.06891496479511261,0.36101305804082323,-0.42992802283593584
COS_DL_001,Cosmology,8,0.6758329756557941,0.7412913516163826,0.7081824010238051,0.8768688440322876,-0.0947883203625679,0.9663804173469543,5,3,0.713263712823391,0.6997135480244955,0.013550164798895481
GR_CHIRP_001,General Relativity,8,0.48635019885841757,0.5589292352087796,0.5229179987218231,0.7069175839424133,-0.13571414351463318,0.9539243578910828,0,8,,0.5229179987218231,
GR_GPS_001,General Relativity,8,0.36874235759023577,0.14375610183924437,0.25384421460330486,0.24770445376634598,-0.16375485062599182,0.5845264792442322,0,8,,0.25384421460330486,
GR_ISCO_001,General Relativity,8,0.4055688171647489,0.5481812413781881,0.4752111374400556,0.7095340192317963,-0.3063206672668457,0.9022299647331238,0,8,,0.4752111374400556,
GR_PERI_001,General Relativity,8,0.4581097923219204,0.5868170054163784,0.5213087294250727,0.5678738355636597,-0.21232415735721588,0.893314003944397,1,7,0.3963727355003357,0.539156728557178,-0.1427839930568423
QFT_CASIMIR_001,Quantum Field Theory,8,0.5721134208142757,0.2234422005712986,0.3919518650509417,0.43226389586925507,-0.04036323353648186,0.5462645888328552,1,7,-0.04036323353648186,0.4537111648491451,-0.49407439838562695
QFT_G2_001,Quantum Field Theory,8,0.42223941907286644,0.639058792963624,0.5281114238314331,0.5117147266864777,-0.0167066790163517,0.8957847356796265,3,5,0.37691115215420723,0.6188315868377685,-0.24192043468356128
QFT_UNRUH_001,Quantum Field Theory,7,0.6382940150797367,0.732557760817664,0.6848346718720028,0.763662576675415,0.21324166655540466,0.9563424587249756,2,5,0.7720090448856354,0.6499649226665497,0.12204412221908567
QFT_YUKAWA_001,Quantum Field Theory,8,0.8028810583055019,0.8354247286915779,0.8186038685962558,0.9484731256961823,-0.08787588030099869,0.9769847989082336,7,1,0.8057992575424058,0.9082361459732056,-0.10243688843079979
QI_CLONE_001,Quantum Information Theory,8,0.6758965663611889,0.754649568349123,0.7137599331326783,0.8941960334777832,0.039077017456293106,0.9722513556480408,8,0,0.7137599331326783,,
QI_HOLEVO_001,Quantum Information Theory,8,0.55027661845088,0.6500033661723137,0.6000122837722301,0.716747522354126,-0.38166603446006775,0.9226306676864624,2,6,0.7796407043933868,0.5401361435651779,0.23950456082820892
QI_TELEPORT_001,Quantum Information Theory,8,0.8196491943672299,0.8474833816289902,0.8327926844358444,0.9192798733711243,0.16284263134002686,0.9600467681884766,6,2,0.8039636214574178,0.9192798733711243,-0.11531625191370642
QI_WERNER_001,Quantum Information Theory,8,0.8155100287403911,0.8611676506698132,0.8374908398836851,0.9312760829925537,0.172477588057518,0.9644626975059509,6,2,0.8135373070836067,0.9093514382839203,-0.09581413120031357
QM_AB_001,Quantum Mechanics,8,0.7608616948127747,0.7992965660523623,0.779509300366044,0.9138081967830658,-0.1721431463956833,0.9696474671363831,4,4,0.658666405826807,0.9003521949052811,-0.24168578907847404
QM_BERRY_001,Quantum Mechanics,8,0.7731398679316044,0.8023761445656419,0.7868688283488154,0.9159513413906097,-0.11703328043222427,0.9357061386108398,8,0,0.7868688283488154,,
QM_RT_001,Quantum Mechanics,8,0.6570167969912291,0.7077439138665795,0.6821081843227148,0.9100602269172668,-0.24835267663002014,0.9351491928100586,1,7,0.9351491928100586,0.6459594688245228,0.2891897239855358
QM_TUNNEL_001,Quantum Mechanics,7,0.7235021378312793,0.757773050240108,0.7404790818691254,0.7866290807723999,0.3922930061817169,0.8596237897872925,1,6,0.8586020469665527,0.7207919210195541,0.1378101259469986
SR_BELL_001,Special Relativity,8,0.7187401317059994,0.8155240342020988,0.7654964805115014,0.9078199565410614,-0.017498468980193138,0.9935784339904785,8,0,0.7654964805115014,,
SR_FIZEAU_001,Special Relativity,8,0.6774772964417934,0.7721147648990154,0.7234727297909558,0.9250037670135498,-0.057818617671728134,0.9612976908683777,8,0,0.7234727297909558,,
SR_ROCKET_001,Special Relativity,8,0.4952888563275337,0.6396121676079929,0.5651954244822264,0.7925708591938019,-0.2188279777765274,0.9719769358634949,1,7,0.9661727547645569,0.5079129487276077,0.45825980603694916
SR_TWIN_001,Special Relativity,8,0.7747848108410835,0.8188315783627331,0.7962496932595968,0.9150557219982147,-0.16293056309223175,0.9772330522537231,6,2,0.748269148170948,0.9401913285255432,-0.19192218035459518
STAT_BEC_001,Statistical Mechanics,6,0.5455023720860481,0.6629095834990343,0.6036968156695366,0.7121484279632568,-0.02937813103199005,0.891615629196167,0,6,,0.6036968156695366,
STAT_ISING_001,Statistical Mechanics,8,0.703336913138628,0.8185365721583366,0.7598545514047146,0.8501037657260895,0.28512319922447205,0.9391590356826782,7,1,0.7389854661055973,0.9059381484985352,-0.1669526823929378
STAT_LANDAUER_001,Statistical Mechanics,8,0.5773088466376066,0.7300158999860287,0.6504477048292756,0.8056069612503052,-0.09831004589796066,0.9439312815666199,2,6,0.3085874654352665,0.7644011179606119,-0.45581365252534545
STAT_NEGT_001,Statistical Mechanics,8,0.5661328848873382,0.3058005915954709,0.43292836705222726,0.44472044706344604,-0.016861718147993088,0.6556558012962341,6,2,0.41374837669233483,0.4904683381319046,-0.07671996143956977
