batch,scenario_id,model_name,source_run_id,final_block_removed_candidate,final_block_removed_reference
V2,CM_FOUCAULT_001,Gemma 3 12B IT,683d993d-776a-4d0a-8d7b-5f3955ff7ec2,True,False
V2,CM_FOUCAULT_001,Gemma 3 27B IT,b77ca7e5-2054-47cf-8b2a-f0522502ecbe,True,False
V2,CM_FOUCAULT_001,Gemma 4 31B IT,98f3c8aa-7662-449d-8bc9-789db679a7b5,True,False
V2,CM_FOUCAULT_001,Granite 4.1 8B,6a439759-2c09-40f5-b714-5f0905b08611,True,False
V2,CM_FOUCAULT_001,Llama 3.1 8B Instruct,43b57069-ea6b-42b1-9339-b978dcf9ad74,False,False
V2,CM_FOUCAULT_001,Ministral 3 8B,981eba36-7bcf-427e-9a83-c05551b36c90,True,False
V2,CM_FOUCAULT_001,Mistral NeMo 12B,78db6adf-408e-49e7-8f70-5a4c3fe210ad,True,False
V2,CM_FOUCAULT_001,Mistral Small 3.2 24B Instruct,87d3ed82-6adb-40f0-8db1-efb66f5207f4,True,False
V2,COS_CMB_001,Gemma 3 12B IT,f7f12cfe-6b34-4c5b-8af3-5337de7fb235,True,False
V2,COS_CMB_001,Gemma 3 27B IT,45f12cf7-3772-421a-8998-b0b7ff23252b,True,False
V2,COS_CMB_001,Gemma 4 31B IT,c15d63d9-68db-48a3-85f1-9600fff091ee,True,False
V2,COS_CMB_001,Granite 4.1 8B,33b7ba26-8ce1-4c4c-aadf-b13a0800ceed,True,False
V2,COS_CMB_001,Llama 3.1 8B Instruct,a3752b06-d12a-4b6f-b533-06abdc5a4a2d,True,False
V2,COS_CMB_001,Ministral 3 8B,ea1562a8-ce25-46ef-96c3-4ea66084be94,True,False
V2,COS_CMB_001,Mistral NeMo 12B,5bde406e-bcbd-4d75-9974-030635a1f45a,True,False
V2,COS_CMB_001,Mistral Small 3.2 24B Instruct,2d1f22bc-291c-4722-88c7-cc1fed3ce53d,True,False
V2,GR_ISCO_001,Gemma 3 12B IT,0891d888-672d-4f87-bc31-5a40a8dfdd32,True,False
V2,GR_ISCO_001,Gemma 3 27B IT,a043fef4-92a9-4e39-8b94-4099ce5d7bd8,True,False
V2,GR_ISCO_001,Gemma 4 31B IT,e4d58dfa-4086-43b4-a5bf-1f9bec6c2599,True,False
V2,GR_ISCO_001,Granite 4.1 8B,40dd5ad7-5daa-4765-ad81-b279dda17267,True,False
V2,GR_ISCO_001,Llama 3.1 8B Instruct,12ba6901-ab09-4608-812d-243a3ba8cb47,False,False
V2,GR_ISCO_001,Ministral 3 8B,6a0624c3-57f8-4327-8206-731c8c16e32e,True,False
V2,GR_ISCO_001,Mistral NeMo 12B,afe1c751-3c98-4578-aee5-2bc6938397b8,True,False
V2,GR_ISCO_001,Mistral Small 3.2 24B Instruct,ab92bfee-92d9-4fbc-b33c-4d25777badf5,True,False
V2,QI_TELEPORT_001,Gemma 3 12B IT,30ac6932-dc57-4cf3-bf98-468533408eb0,True,False
V2,QI_TELEPORT_001,Gemma 3 27B IT,7c096d8f-6286-4837-bb5c-38e6df0e6b56,True,False
V2,QI_TELEPORT_001,Gemma 4 31B IT,42445057-c8f5-4253-80d2-5a671b2f970e,True,False
V2,QI_TELEPORT_001,Granite 4.1 8B,b82bd97e-a127-4a93-adc1-3fd1abd73acc,True,False
V2,QI_TELEPORT_001,Llama 3.1 8B Instruct,ba60237f-f38f-49a1-aff7-f714152bab19,True,False
V2,QI_TELEPORT_001,Ministral 3 8B,9584a665-3773-4c3a-a6fd-e7fe2777cbbb,True,False
V2,QI_TELEPORT_001,Mistral NeMo 12B,ef9cc4a7-79d5-4db1-94dc-31e32778b632,True,False
V2,QI_TELEPORT_001,Mistral Small 3.2 24B Instruct,dfc152eb-9100-4902-bb40-b122e3842d5f,True,False
V2,QM_BERRY_001,Gemma 3 12B IT,d94b3e8b-d2fa-4bfd-8261-18fc32f1e6c2,True,False
V2,QM_BERRY_001,Gemma 3 27B IT,5adb68d3-d803-46a1-ac23-424753a795f6,True,False
V2,QM_BERRY_001,Gemma 4 31B IT,9db36a40-841b-4808-bbed-447ab10fa45e,True,False
V2,QM_BERRY_001,Granite 4.1 8B,bfead667-22b7-4add-82bd-2984b62eeac1,True,False
V2,QM_BERRY_001,Llama 3.1 8B Instruct,e85fdb3c-6f96-43c1-ae20-f3af6c23ab26,True,False
V2,QM_BERRY_001,Ministral 3 8B,fdc95d2c-3de5-4854-8c60-7b922434ac4c,True,False
V2,QM_BERRY_001,Mistral NeMo 12B,183a2bc8-11a9-43e6-a8a0-67b79cff192b,True,False
V2,QM_BERRY_001,Mistral Small 3.2 24B Instruct,0c429cf4-5519-4352-b10b-b78367d1aa96,True,False
V2,QFT_G2_001,Gemma 3 12B IT,b29759a2-66b7-4fc4-ba87-3dfd71ad6ba3,True,False
V2,QFT_G2_001,Gemma 3 27B IT,25529e5b-327b-4589-a52a-93f73ca80330,True,False
V2,QFT_G2_001,Gemma 4 31B IT,c4603976-d5d0-4988-a94c-66b6032bc539,True,False
V2,QFT_G2_001,Granite 4.1 8B,4013320a-823c-4eea-a0f8-eff99460982d,True,False
V2,QFT_G2_001,Llama 3.1 8B Instruct,eaff2b64-dfb3-49b3-9728-2a8a928c5ac7,False,False
V2,QFT_G2_001,Ministral 3 8B,b3e81597-bbd0-4808-a7b4-5c7c68c104f0,True,False
V2,QFT_G2_001,Mistral NeMo 12B,96198746-3f2d-4926-bcef-e8433bbb98d7,True,False
V2,QFT_G2_001,Mistral Small 3.2 24B Instruct,ca000060-3995-4bae-816b-f16738e1b5cc,True,False
V2,SR_ROCKET_001,Gemma 3 12B IT,0a1bfb8e-7794-43ce-a724-e54da756c20b,True,False
V2,SR_ROCKET_001,Gemma 3 27B IT,0fdbc6f7-aa2f-4d13-85e3-1de67d52d0f1,True,False
V2,SR_ROCKET_001,Gemma 4 31B IT,4e6f8a7e-4f83-4d56-8303-b5235d10c856,True,False
V2,SR_ROCKET_001,Granite 4.1 8B,03445593-5565-4d84-808b-961d8347ef18,True,False
V2,SR_ROCKET_001,Llama 3.1 8B Instruct,ea3655fd-8b19-4f34-972d-8d47bb3d3a2f,True,False
V2,SR_ROCKET_001,Ministral 3 8B,b43a15c6-f44a-490f-9780-8498520180c6,True,False
V2,SR_ROCKET_001,Mistral NeMo 12B,dc36a2b4-f64b-443a-b417-a32edd88612a,True,False
V2,SR_ROCKET_001,Mistral Small 3.2 24B Instruct,8dd9d539-5113-456a-ad1b-2987c0bf85c9,True,False
V2,STAT_ISING_001,Gemma 3 12B IT,863e22f3-01f3-468c-994c-0a868b72a3dc,True,False
V2,STAT_ISING_001,Gemma 3 27B IT,a82bb41e-4662-4d67-95ff-851677b05abd,True,False
V2,STAT_ISING_001,Gemma 4 31B IT,8032048a-8e04-432c-b3eb-aab06ea4d99e,True,False
V2,STAT_ISING_001,Granite 4.1 8B,5f22cbbd-f1ee-4af0-aa42-2c057e6b9037,True,False
V2,STAT_ISING_001,Llama 3.1 8B Instruct,7ccc748d-227f-4678-a6d4-a73a86a210d0,True,False
V2,STAT_ISING_001,Ministral 3 8B,06aa69b6-039e-4f7c-91d6-191279776ccc,True,False
V2,STAT_ISING_001,Mistral NeMo 12B,1578b708-15cc-4472-862d-060fbdc5e95c,True,False
V2,STAT_ISING_001,Mistral Small 3.2 24B Instruct,9e6a063d-dc82-49ce-aceb-7ac5aad0e02b,True,False
V3,CM_APSIDAL_001,Gemma 3 12B IT,d3255966-d397-4024-81e3-275d475b382f,True,False
V3,CM_APSIDAL_001,Gemma 3 27B IT,d678fa6d-f25c-4af8-bc83-9067f0531bcc,True,False
V3,CM_APSIDAL_001,Gemma 4 31B IT,4626221f-f5e2-47b7-9c73-7930e0977b54,True,False
V3,CM_APSIDAL_001,Granite 4.1 8B,d410a814-2896-4137-8dcd-4ea1e3fde257,True,False
V3,CM_APSIDAL_001,Llama 3.1 8B Instruct,c5b81f9e-4521-4354-8a5d-745ff4c05bcf,True,False
V3,CM_APSIDAL_001,Ministral 3 8B,8d88ebb6-c7fb-48bf-8150-c24d1049670c,True,False
V3,CM_APSIDAL_001,Mistral NeMo 12B,4e065114-6895-4037-9f9c-d85e9790bfc5,True,False
