scenario_id,category,n_rows,pass,fail,pass_rate,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,min_f1,max_f1,mean_candidate_text_length_chars,mean_reference_text_length_chars
CM_APSIDAL_001,Classical Mechanics,8,3,5,0.375,0.21923453430645168,0.32328201830387115,0.7025979682803154,0.7977161705493927,0.4508753465488553,0.5633678436279297,-0.08287616819143295,0.6232309341430664,1050.25,622
CM_FOUCAULT_001,Classical Mechanics,8,7,1,0.875,0.2575555043295026,0.4224267303943634,0.6975153014063835,0.8219591975212097,0.46890527568757534,0.6156444847583771,0.06529010832309723,0.6917591691017151,972.75,629
CM_KAPITZA_001,Classical Mechanics,8,1,7,0.125,0.2858028542250395,0.4576461613178253,0.7085186541080475,0.8279291987419128,0.48915749322623014,0.6235242187976837,-0.06008379906415939,0.7007976770401001,857.125,483
CM_TOP_001,Classical Mechanics,8,6,2,0.75,0.3832615427672863,0.5047595202922821,0.7804418754822109,0.8965738415718079,0.5753795932978392,0.6943559646606445,-0.19409604370594025,0.7349618077278137,1097.125,661
COS_AGE_001,Cosmology,8,1,7,0.125,0.36160264117643237,0.5256070196628571,0.6727851168252528,0.837306946516037,0.5135141415521502,0.6711101531982422,-0.20672689378261566,0.7632734179496765,1154.25,659
COS_CMB_001,Cosmology,8,5,3,0.625,0.31887073535472155,0.4372999370098114,0.7219883557409048,0.8655615746974945,0.5137509265914559,0.6443934440612793,-0.07554664462804794,0.7031574845314026,906.25,566
COS_DESITTER_001,Cosmology,8,1,7,0.125,0.047409262508153915,0.04555721580982208,0.40146911423653364,0.4260767325758934,0.21955682430416346,0.22253917902708054,-0.29742735624313354,0.7112431526184082,1390.625,632
COS_DL_001,Cosmology,8,5,3,0.625,0.2844500644132495,0.39749662578105927,0.7032793313264847,0.8267608284950256,0.48660228308290243,0.6061808168888092,-0.0947883203625679,0.6733954548835754,959.875,611
GR_CHIRP_001,General Relativity,8,0,8,0.0,0.3268081076676026,0.4608859717845917,0.5400229436345398,0.7221046090126038,0.4319732857402414,0.5890153646469116,-0.13571414351463318,0.7747526168823242,1174,609
GR_GPS_001,General Relativity,8,0,8,0.0,0.386450769030489,0.35234445333480835,0.30137599259614944,0.3480193167924881,0.3443881385028362,0.3476273864507675,-0.16375485062599182,0.7468062043190002,1473.625,1342
GR_ISCO_001,General Relativity,8,0,8,0.0,0.20394846564158797,0.3785082697868347,0.5206368546932936,0.7469132244586945,0.3579022898338735,0.5572226643562317,-0.3063206672668457,0.6754833459854126,1337.375,734
GR_PERI_001,General Relativity,8,1,7,0.125,0.27001379150897264,0.36234794557094574,0.5739616469945759,0.6388621032238007,0.41848849318921566,0.4979046881198883,-0.21232415735721588,0.6922518610954285,1697.75,695
QFT_CASIMIR_001,Quantum Field Theory,8,1,7,0.125,0.5691362135112286,0.6422064006328583,0.4437774047255516,0.5154266059398651,0.5062902034260333,0.5787376165390015,-0.04036323353648186,0.6816774606704712,1142.5,1357
QFT_G2_001,Quantum Field Theory,8,3,5,0.375,0.19106515031307936,0.1667533963918686,0.6086305174976587,0.5854159593582153,0.39260080037638545,0.3688667267560959,-0.0167066790163517,0.6538836359977722,946.5,547
QFT_UNRUH_001,Quantum Field Theory,7,2,5,0.2857142857142857,0.4128603143617511,0.4735574424266815,0.7087646297046116,0.7303622961044312,0.5573928079434803,0.5920346975326538,0.18565760552883148,0.7689459323883057,1029.857142857143,796
QFT_YUKAWA_001,Quantum Field Theory,8,7,1,0.875,0.4433835782110691,0.5471547544002533,0.7897529974579811,0.8912000358104706,0.611776384525001,0.714745432138443,-0.08787588030099869,0.7356642484664917,968.375,668
QI_CLONE_001,Quantum Information Theory,8,8,0,1.0,0.35728022269904613,0.5170951038599014,0.7174650020897388,0.8061857521533966,0.5318293389864266,0.6586064398288727,0.039077017456293106,0.7388190627098083,1032.625,714
QI_HOLEVO_001,Quantum Information Theory,8,2,6,0.25,0.41312683559954166,0.57599076628685,0.6264926679432392,0.7772328853607178,0.5184365101158619,0.6936927437782288,-0.38166603446006775,0.7465758919715881,1211.125,726
QI_TELEPORT_001,Quantum Information Theory,8,6,2,0.75,0.4064210504293442,0.4778825491666794,0.7974331453442574,0.8521853089332581,0.5955673083662987,0.6529922485351562,0.11572164297103882,0.6939734816551208,857.25,603
QI_WERNER_001,Quantum Information Theory,8,6,2,0.75,0.35704591288231313,0.4133288413286209,0.8112832270562649,0.8717643022537231,0.5754689108580351,0.6289452612400055,0.172477588057518,0.6574417352676392,1041.875,732
QM_AB_001,Quantum Mechanics,8,4,4,0.5,0.41392791271209717,0.5222184360027313,0.7589173472952098,0.8653150200843811,0.581668870523572,0.6900345087051392,-0.1721431463956833,0.7365182042121887,918,670
QM_BERRY_001,Quantum Mechanics,8,8,0,1.0,0.4448052830994129,0.557887464761734,0.760985747911036,0.8509532809257507,0.5988417370244861,0.702538400888443,-0.11703328043222427,0.7121443748474121,924.25,572
QM_RT_001,Quantum Mechanics,8,1,7,0.125,0.4068298041820526,0.5863547325134277,0.680815719999373,0.871833473443985,0.5411355067044497,0.7262864112854004,-0.24835267663002014,0.7448796629905701,1290,867
QM_TUNNEL_001,Quantum Mechanics,7,1,6,0.14285714285714285,0.4437397335256849,0.4742943048477173,0.7251171554837909,0.7387037873268127,0.5814806691237858,0.6004138588905334,0.3922930061817169,0.6594151854515076,895,665
SR_BELL_001,Special Relativity,8,8,0,1.0,0.3508719764649868,0.4549337923526764,0.7773940041661263,0.8747095763683319,0.5563976720441133,0.6621728539466858,-0.017498468980193138,0.7251842021942139,1136.375,822
SR_FIZEAU_001,Special Relativity,8,8,0,1.0,0.4153101481497288,0.601195752620697,0.7464369051158428,0.8765229880809784,0.5763008152134717,0.7396593987941742,-0.057818617671728134,0.7657498121261597,997.625,700
SR_ROCKET_001,Special Relativity,8,1,7,0.125,0.28372351452708244,0.4773660749197006,0.6086245100013912,0.7552047073841095,0.4417861085385084,0.6134085953235626,-0.2188279777765274,0.7673898935317993,1212.125,714
SR_TWIN_001,Special Relativity,8,6,2,0.75,0.399690218269825,0.4950043559074402,0.7887370144017041,0.8839883208274841,0.5880292411893606,0.6829905211925507,-0.16293056309223175,0.7364532351493835,1256.375,863
STAT_BEC_001,Statistical Mechanics,6,0,6,0.0,0.41453641404708225,0.5122282207012177,0.6470806561410427,0.7761232554912567,0.5288553858796755,0.6567775905132294,-0.02937813103199005,0.7201752662658691,1198.3333333333333,671
STAT_ISING_001,Statistical Mechanics,8,7,1,0.875,0.35409586294554174,0.43193213641643524,0.7772264331579208,0.8300205767154694,0.558119647204876,0.6271550953388214,0.2180231213569641,0.6861555576324463,889.375,656
STAT_LANDAUER_001,Statistical Mechanics,8,2,6,0.25,0.3257631226442754,0.48040495812892914,0.7014510184526443,0.7818116545677185,0.5069453278556466,0.6276161372661591,-0.09831004589796066,0.7398287653923035,1045.125,751
STAT_NEGT_001,Statistical Mechanics,8,6,2,0.75,0.5839810301040416,0.6285127699375153,0.4510791664943099,0.470623716711998,0.5172512144781649,0.5491541624069214,-0.016861718147993088,0.7506775259971619,1168.375,1530
