span_id,run_id,span_type,status,method,raw_text,normalized_text
1,1,display_math,REAL,pylatexenc,"\[
\begin{aligned}
\mathrm{apsidal\_kepler\_deg} &= 180 \\
\mathrm{apsidal\_harmonic\_deg} &= 90 \\
\mathrm{apsidal\_n\_minus1\_deg} &= 127.28 \\
\mathrm{precession\_per\_period\_deg} &= -105.44
\end{aligned}
\]",apsidal_kepler_deg = 180 apsidal_harmonic_deg = 90 apsidal_n_minus1_deg = 127.28 precession_per_period_deg = -105.44
2,1,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+n},Φ= π/√(3+n)
3,1,inline_math,REAL,pylatexenc,n = -2,n = -2
4,1,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+(-2)} = \pi/\sqrt{1} = \pi,Φ= π/√(3+(-2)) = π/√(1) = π
5,1,inline_math,REAL,pylatexenc,\Phi = \pi \times (180/\pi) = 180^\circ,Φ= π×(180/π) = 180^∘
6,1,inline_math,REAL,pylatexenc,n = +1,n = +1
7,1,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+1} = \pi/\sqrt{4} = \pi/2,Φ= π/√(3+1) = π/√(4) = π/2
8,1,inline_math,REAL,pylatexenc,\Phi = (\pi/2) \times (180/\pi) = 90^\circ,Φ= (π/2) ×(180/π) = 90^∘
9,1,inline_math,REAL,pylatexenc,n = -1,n = -1
10,1,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+(-1)} = \pi/\sqrt{2},Φ= π/√(3+(-1)) = π/√(2)
11,1,inline_math,REAL,pylatexenc,\Phi = (\pi/\sqrt{2}) \times (180/\pi) = 180/\sqrt{2} = 90\sqrt{2} \approx 127.28^\circ,Φ= (π/√(2)) ×(180/π) = 180/√(2) = 90√(2) ≈127.28^∘
12,1,inline_math,REAL,pylatexenc,n = -1,n = -1
13,1,inline_math,REAL,pylatexenc,2\Phi - 360^\circ,2Φ- 360^∘
14,1,inline_math,REAL,pylatexenc,2\Phi - 360^\circ = 2(180/\sqrt{2}) - 360^\circ = 360/\sqrt{2} - 360^\circ = 360(1/\sqrt{2} - 1) \approx 360(0.7071 - 1) = 360(-0.2929) \approx -105.44^\circ,2Φ- 360^∘= 2(180/√(2)) - 360^∘= 360/√(2) - 360^∘= 360(1/√(2) - 1) ≈360(0.7071 - 1) = 360(-0.2929) ≈-105.44^∘
15,1,inline_math,REAL,pylatexenc,F(r) = -k r^n,F(r) = -k r^n
