scenario_id,clean_rows,pass_count,fail_count,pass_rate,most_common_failure_mode,review_rows
CM_APSIDAL_001,8,3,5,0.375,numeric_mismatch,0
CM_FOUCAULT_001,8,7,1,0.875,numeric_mismatch,1
CM_KAPITZA_001,8,1,7,0.125,numeric_mismatch,0
CM_TOP_001,8,6,2,0.75,numeric_mismatch,0
COS_AGE_001,8,1,7,0.125,numeric_mismatch,0
COS_CMB_001,8,5,3,0.625,numeric_mismatch,1
COS_DESITTER_001,8,1,7,0.125,numeric_mismatch,0
COS_DL_001,8,5,3,0.625,numeric_mismatch,0
GR_CHIRP_001,8,0,8,0.0,numeric_mismatch,0
GR_GPS_001,8,0,8,0.0,numeric_mismatch,0
GR_ISCO_001,8,0,8,0.0,numeric_mismatch,1
GR_PERI_001,8,1,7,0.125,numeric_mismatch,0
QFT_CASIMIR_001,8,1,7,0.125,numeric_mismatch,0
QFT_G2_001,8,3,5,0.375,numeric_mismatch,1
QFT_UNRUH_001,7,2,5,0.285714,numeric_mismatch,1
QFT_YUKAWA_001,8,7,1,0.875,numeric_mismatch,0
QI_CLONE_001,8,8,0,1.0,none,0
QI_HOLEVO_001,8,2,6,0.25,numeric_mismatch,0
QI_TELEPORT_001,8,6,2,0.75,unparseable_value,1
QI_WERNER_001,8,6,2,0.75,numeric_mismatch,0
QM_AB_001,8,4,4,0.5,numeric_mismatch,0
QM_BERRY_001,8,8,0,1.0,none,1
QM_RT_001,8,1,7,0.125,numeric_mismatch,0
QM_TUNNEL_001,7,1,6,0.142857,numeric_mismatch,1
SR_BELL_001,8,8,0,1.0,none,0
SR_FIZEAU_001,8,8,0,1.0,none,0
SR_ROCKET_001,8,1,7,0.125,numeric_mismatch,1
SR_TWIN_001,8,6,2,0.75,numeric_mismatch,0
STAT_BEC_001,6,0,6,0.0,numeric_mismatch,2
STAT_ISING_001,8,7,1,0.875,numeric_mismatch,1
STAT_LANDAUER_001,8,2,6,0.25,numeric_mismatch,0
STAT_NEGT_001,8,6,2,0.75,numeric_mismatch,0
