scenario_id,field_name,field_count_gt100,field_count_gt1000,max_rel_error,median_gt100_rel_error,most_common_pattern,affected_models
CM_APSIDAL_001,apsidal_n_minus1_deg,1,0,2.49153614006,2.49153614006,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Gemma 3 12B IT
CM_APSIDAL_001,precession_per_period_deg,3,0,6.01510035526,1.08982416506,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Llama 3.1 8B Instruct;Ministral 3 8B
CM_KAPITZA_001,f_min_hz,4,0,8.97870279655,5.52612237886,DECIMAL_OR_POWER_OF_TEN_SCALE,Gemma 3 12B IT;Gemma 3 27B IT;Ministral 3 8B;Mistral Small 3.2 24B Instruct
CM_KAPITZA_001,omega_min_rad_s,4,0,9.00045999087,5.53336462402,DECIMAL_OR_POWER_OF_TEN_SCALE,Gemma 3 12B IT;Gemma 3 27B IT;Ministral 3 8B;Mistral Small 3.2 24B Instruct
CM_TOP_001,precession_period_s,2,2,653.273337189,350.662241872,ORDER_OF_MAGNITUDE_GT10X,Llama 3.1 8B Instruct;Mistral NeMo 12B
COS_AGE_001,matter_age_gyr,1,0,4.01164748971,4.01164748971,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Mistral NeMo 12B
COS_CMB_001,T_rec_K,1,0,8.96101125749,8.96101125749,DECIMAL_OR_POWER_OF_TEN_SCALE,Llama 3.1 8B Instruct
COS_DESITTER_001,gh_temp_e30_K,1,0,3.89523117457,3.89523117457,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Gemma 3 12B IT
COS_DESITTER_001,horizon_gpc,2,0,2.0821325275,2.0821325275,COMMON_FACTOR_2_OR_PI,Gemma 3 27B IT;Mistral Small 3.2 24B Instruct
COS_DL_001,dl_eds_mpc,1,1,49.0346031609,49.0346031609,ORDER_OF_MAGNITUDE_GT10X,Mistral NeMo 12B
COS_DL_001,dl_lcdm_mpc,1,1,49.5400043364,49.5400043364,ORDER_OF_MAGNITUDE_GT10X,Mistral NeMo 12B
COS_DL_001,hubble_distance_mpc,1,0,9.00692218882,9.00692218882,DECIMAL_OR_POWER_OF_TEN_SCALE,Mistral NeMo 12B
GR_CHIRP_001,chirp_mass_msun,1,0,3.09214285714,3.09214285714,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Gemma 4 31B IT
GR_CHIRP_001,each_mass_msun,1,0,3.09283128351,3.09283128351,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Gemma 4 31B IT
GR_CHIRP_001,total_mass_msun,1,0,3.09283128351,3.09283128351,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Gemma 4 31B IT
GR_GPS_001,grav_shift_us_day,2,2,1630.69605903,820.797377076,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Llama 3.1 8B Instruct
GR_GPS_001,net_shift_us_day,4,1,12.9457909188,3.4708658404,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Gemma 3 12B IT;Llama 3.1 8B Instruct;Ministral 3 8B;Mistral NeMo 12B
GR_GPS_001,velocity_shift_us_day,8,2,10010.6255998,1.99957618524,SIGN_FLIP,Gemma 3 12B IT;Gemma 3 27B IT;Gemma 4 31B IT;Granite 4.1 8B;Llama 3.1 8B Instruct;Ministral 3 8B;Mistral NeMo 12B;Mistral Small 3.2 24B Instruct
GR_ISCO_001,f_gw_hz,2,1,41536.3179761,20772.2415142,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 3 27B IT
GR_ISCO_001,f_orbital_hz,2,1,41536.3180706,20772.2415614,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 3 27B IT
GR_ISCO_001,r_isco_km,3,3,19994.4339998,98.9771699988,DECIMAL_OR_POWER_OF_TEN_SCALE,Llama 3.1 8B Instruct;Ministral 3 8B;Mistral Small 3.2 24B Instruct
GR_PERI_001,advance_arcsec_century,2,1,45.5307194418,24.3709800567,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Gemma 3 27B IT;Mistral NeMo 12B
GR_PERI_001,advance_arcsec_orbit,5,4,414.201514742,83.4313922485,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 3 27B IT;Llama 3.1 8B Instruct;Mistral NeMo 12B;Mistral Small 3.2 24B Instruct
QFT_CASIMIR_001,energy_per_area_uJ_m2,5,3,291.587251226,30.3815979233,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 4 31B IT;Ministral 3 8B;Mistral NeMo 12B;Mistral Small 3.2 24B Instruct
QFT_CASIMIR_001,pressure_double_d_pa,3,2,5290.79316719,699.62110884,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 4 31B IT;Llama 3.1 8B Instruct
QFT_CASIMIR_001,pressure_pa,3,2,701.165128944,528.179560932,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 4 31B IT;Llama 3.1 8B Instruct
QFT_G2_001,anomaly_times_1e3,2,0,5.22837757553,3.67522235903,COMMON_FACTOR_2_OR_PI,Gemma 3 12B IT;Mistral NeMo 12B
QFT_UNRUH_001,accel_for_1K_e20,1,1,73.2067481103,73.2067481103,ORDER_OF_MAGNITUDE_GT10X,Llama 3.1 8B Instruct
