scenario_id,row_count_with_gt100_failure,field_count_gt100,field_count_gt1000,max_rel_error,median_gt100_rel_error,most_common_pattern,affected_models
CM_APSIDAL_001,3,4,0,6.01510035526,1.79068015256,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Gemma 3 12B IT;Llama 3.1 8B Instruct;Ministral 3 8B
CM_KAPITZA_001,4,8,0,9.00045999087,5.52612237886,DECIMAL_OR_POWER_OF_TEN_SCALE,Gemma 3 12B IT;Gemma 3 27B IT;Ministral 3 8B;Mistral Small 3.2 24B Instruct
CM_TOP_001,2,2,2,653.273337189,350.662241872,ORDER_OF_MAGNITUDE_GT10X,Llama 3.1 8B Instruct;Mistral NeMo 12B
COS_AGE_001,1,1,0,4.01164748971,4.01164748971,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Mistral NeMo 12B
COS_CMB_001,1,1,0,8.96101125749,8.96101125749,DECIMAL_OR_POWER_OF_TEN_SCALE,Llama 3.1 8B Instruct
COS_DESITTER_001,3,3,0,3.89523117457,2.0821325275,COMMON_FACTOR_2_OR_PI,Gemma 3 12B IT;Gemma 3 27B IT;Mistral Small 3.2 24B Instruct
COS_DL_001,1,3,2,49.5400043364,49.0346031609,ORDER_OF_MAGNITUDE_GT10X,Mistral NeMo 12B
GR_CHIRP_001,1,3,0,3.09283128351,3.09283128351,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Gemma 4 31B IT
GR_GPS_001,8,14,5,10010.6255998,1.99957618524,SIGN_FLIP,Gemma 3 12B IT;Gemma 3 27B IT;Gemma 4 31B IT;Granite 4.1 8B;Llama 3.1 8B Instruct;Ministral 3 8B;Mistral NeMo 12B;Mistral Small 3.2 24B Instruct
GR_ISCO_001,5,7,5,41536.3180706,98.9771699988,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 3 27B IT;Llama 3.1 8B Instruct;Ministral 3 8B;Mistral Small 3.2 24B Instruct
GR_PERI_001,5,7,5,414.201514742,45.5307194418,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 3 27B IT;Llama 3.1 8B Instruct;Mistral NeMo 12B;Mistral Small 3.2 24B Instruct
QFT_CASIMIR_001,6,11,7,5290.79316719,149.447072397,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 4 31B IT;Llama 3.1 8B Instruct;Ministral 3 8B;Mistral NeMo 12B;Mistral Small 3.2 24B Instruct
QFT_G2_001,2,2,0,5.22837757553,3.67522235903,COMMON_FACTOR_2_OR_PI,Gemma 3 12B IT;Mistral NeMo 12B
QFT_UNRUH_001,3,4,1,73.2067481103,7.18740274377,COMMON_FACTOR_2_OR_PI,Gemma 3 12B IT;Llama 3.1 8B Instruct;Mistral Small 3.2 24B Instruct
QI_HOLEVO_001,1,1,0,1.33333333333,1.33333333333,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Ministral 3 8B
QM_RT_001,4,8,3,24.8974037763,7.33465028214,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 3 27B IT;Ministral 3 8B;Mistral Small 3.2 24B Instruct
QM_TUNNEL_001,3,5,5,2635088802.47,253.757252833,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 3 27B IT;Ministral 3 8B
SR_ROCKET_001,2,3,2,16348.9611146,701.58499046,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 3 27B IT
STAT_BEC_001,3,6,2,18.3512413407,2.89662116584,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Gemma 3 27B IT;Gemma 4 31B IT;Mistral Small 3.2 24B Instruct
STAT_LANDAUER_001,3,3,1,104.887225229,9.13591530973,DECIMAL_OR_POWER_OF_TEN_SCALE,Gemma 3 12B IT;Mistral NeMo 12B;Mistral Small 3.2 24B Instruct
STAT_NEGT_001,1,2,2,1068.3427031,1068.3427031,ORDER_OF_MAGNITUDE_GT10X,Mistral NeMo 12B
