source_run_id,batch,scenario_id,category,model_name,field_name,expected_value,extracted_value,rel_error,rel_error_percent,abs_extracted_over_expected_ratio,log10_abs_ratio,preliminary_failure_pattern,original_error_tags,original_failed_fields
69105aad-c0ce-42d1-bb33-a335484e353a,V3,QM_TUNNEL_001,Quantum Mechanics,Ministral 3 8B,kappa_per_nm,10.246334,2.70 \times 10^{10},2635088802.47,263508880247,2635088803.47,9.42079525568,ORDER_OF_MAGNITUDE_GT10X,kappa_L:MISMATCH;kappa_per_nm:MISMATCH;log10_T:MISMATCH,kappa_L;kappa_per_nm;log10_T
0891d888-672d-4f87-bc31-5a40a8dfdd32,V2,GR_ISCO_001,General Relativity,Gemma 3 12B IT,f_orbital_hz,219.802347,9.13e6,41536.3180706,4153631.80706,41537.3180706,4.61843845212,ORDER_OF_MAGNITUDE_GT10X,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km
0891d888-672d-4f87-bc31-5a40a8dfdd32,V2,GR_ISCO_001,General Relativity,Gemma 3 12B IT,f_gw_hz,439.604695,1.826e7,41536.3179761,4153631.79761,41537.3179761,4.61843845114,ORDER_OF_MAGNITUDE_GT10X,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km
12ba6901-ab09-4608-812d-243a3ba8cb47,V2,GR_ISCO_001,General Relativity,Llama 3.1 8B Instruct,r_isco_km,88.620232,1.772\times10^{6},19994.4339998,1999443.39998,19995.4339998,4.30093083491,ORDER_OF_MAGNITUDE_GT10X,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km
0a1bfb8e-7794-43ce-a724-e54da756c20b,V2,SR_ROCKET_001,Special Relativity,Gemma 3 12B IT,distance_ly,0.563194,9208.2,16348.9611146,1634896.11146,16349.9611146,4.21351672411,ORDER_OF_MAGNITUDE_GT10X,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr
637b75a5-6869-433d-b669-e89b15b2555e,V3,GR_GPS_001,General Relativity,Llama 3.1 8B Instruct,velocity_shift_us_day,7.213057,-72200,10010.6255998,1001062.55998,10009.6255998,4.00041783343,ORDER_OF_MAGNITUDE_GT10X,grav_shift_us_day:MISMATCH;net_shift_us_day:MISMATCH;velocity_shift_us_day:MISMATCH,grav_shift_us_day;net_shift_us_day;velocity_shift_us_day
0ed2217a-06ad-4917-b517-25fdcad0cab9,V3,QFT_CASIMIR_001,Quantum Field Theory,Llama 3.1 8B Instruct,pressure_double_d_pa,0.812579,4300,5290.79316719,529079.316719,5291.79316719,3.72360286119,ORDER_OF_MAGNITUDE_GT10X,energy_per_area_uJ_m2:MISMATCH;pressure_double_d_pa:MISMATCH;pressure_pa:MISMATCH,energy_per_area_uJ_m2;pressure_double_d_pa;pressure_pa
633ca832-c7c2-4e57-8667-0e5462503514,V3,QM_TUNNEL_001,Quantum Mechanics,Gemma 3 27B IT,kappa_per_nm,10.246334,3.39 \times 10^4,3307.50038658,330750.038658,3308.50038658,3.51963118972,ORDER_OF_MAGNITUDE_GT10X,kappa_L:MISMATCH;kappa_per_nm:MISMATCH;log10_T:MISMATCH,kappa_L;kappa_per_nm;log10_T
637b75a5-6869-433d-b669-e89b15b2555e,V3,GR_GPS_001,General Relativity,Llama 3.1 8B Instruct,grav_shift_us_day,45.719299,74600,1630.69605903,163069.605903,1631.69605903,3.2126392646,ORDER_OF_MAGNITUDE_GT10X,grav_shift_us_day:MISMATCH;net_shift_us_day:MISMATCH;velocity_shift_us_day:MISMATCH,grav_shift_us_day;net_shift_us_day;velocity_shift_us_day
f6e77e0c-96ad-45a5-85ab-996fd74634d8,V5,STAT_NEGT_001,Statistical Mechanics,Mistral NeMo 12B,abs_temperature_K,1.318567,1.41 \times 10^3,1068.3427031,106834.27031,1069.3427031,3.02911691027,ORDER_OF_MAGNITUDE_GT10X,abs_temperature_K:MISMATCH;temperature_K:MISMATCH,abs_temperature_K;temperature_K
f6e77e0c-96ad-45a5-85ab-996fd74634d8,V5,STAT_NEGT_001,Statistical Mechanics,Mistral NeMo 12B,temperature_K,-1.318567,-1.41 \times 10^3,1068.3427031,106834.27031,1069.3427031,3.02911691027,ORDER_OF_MAGNITUDE_GT10X,abs_temperature_K:MISMATCH;temperature_K:MISMATCH,abs_temperature_K;temperature_K
0a1bfb8e-7794-43ce-a724-e54da756c20b,V2,SR_ROCKET_001,Special Relativity,Gemma 3 12B IT,lab_time_yr,1.187045,833.9999999999999,701.58499046,70158.499046,702.58499046,2.84669886759,ORDER_OF_MAGNITUDE_GT10X,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr
dbbe1d7b-1475-462c-878a-493a65482ef5,V3,QFT_CASIMIR_001,Quantum Field Theory,Gemma 3 12B IT,pressure_pa,13.001258,9129.03,701.165128944,70116.5128944,702.165128944,2.84643925765,ORDER_OF_MAGNITUDE_GT10X,energy_per_area_uJ_m2:MISMATCH;pressure_double_d_pa:MISMATCH;pressure_pa:MISMATCH,energy_per_area_uJ_m2;pressure_double_d_pa;pressure_pa
dbbe1d7b-1475-462c-878a-493a65482ef5,V3,QFT_CASIMIR_001,Quantum Field Theory,Gemma 3 12B IT,pressure_double_d_pa,0.812579,569.31,699.62110884,69962.110884,700.62110884,2.84548321793,ORDER_OF_MAGNITUDE_GT10X,energy_per_area_uJ_m2:MISMATCH;pressure_double_d_pa:MISMATCH;pressure_pa:MISMATCH,energy_per_area_uJ_m2;pressure_double_d_pa;pressure_pa
09da2552-f5c9-4b6d-a531-830e1a95ff6b,V5,CM_TOP_001,Classical Mechanics,Llama 3.1 8B Instruct,precession_period_s,1.537171,1005.73,653.273337189,65327.3337189,654.273337189,2.81575922238,ORDER_OF_MAGNITUDE_GT10X,precession_double_spin:MISMATCH;precession_period_s:MISMATCH;precession_rad_s:MISMATCH,precession_double_spin;precession_period_s;precession_rad_s
0ed2217a-06ad-4917-b517-25fdcad0cab9,V3,QFT_CASIMIR_001,Quantum Field Theory,Llama 3.1 8B Instruct,pressure_pa,13.001258,6880,528.179560932,52817.9560932,529.179560932,2.72360306162,ORDER_OF_MAGNITUDE_GT10X,energy_per_area_uJ_m2:MISMATCH;pressure_double_d_pa:MISMATCH;pressure_pa:MISMATCH,energy_per_area_uJ_m2;pressure_double_d_pa;pressure_pa
3048c6ec-b6eb-429b-9e91-09317a088462,V4,GR_PERI_001,General Relativity,Llama 3.1 8B Instruct,advance_arcsec_orbit,0.103516,42.98,414.201514742,41420.1514742,415.201514742,2.61825892924,WRONG_FIELD_SCALE,advance_arcsec_century:MISMATCH;advance_arcsec_orbit:MISMATCH,advance_arcsec_century;advance_arcsec_orbit
dbbe1d7b-1475-462c-878a-493a65482ef5,V3,QFT_CASIMIR_001,Quantum Field Theory,Gemma 3 12B IT,energy_per_area_uJ_m2,0.433375,126.8,291.587251226,29158.7251226,292.587251226,2.46625539888,ORDER_OF_MAGNITUDE_GT10X,energy_per_area_uJ_m2:MISMATCH;pressure_double_d_pa:MISMATCH;pressure_pa:MISMATCH,energy_per_area_uJ_m2;pressure_double_d_pa;pressure_pa
252e5a22-0a7b-412b-ae8c-1e0bc538da7c,V3,QM_TUNNEL_001,Quantum Mechanics,Gemma 3 12B IT,log10_T,-8.491613,-2163.3,253.757252833,25375.7252833,254.757252833,2.40612655704,ORDER_OF_MAGNITUDE_GT10X,kappa_L:MISMATCH;kappa_per_nm:MISMATCH;log10_T:MISMATCH,kappa_L;kappa_per_nm;log10_T
252e5a22-0a7b-412b-ae8c-1e0bc538da7c,V3,QM_TUNNEL_001,Quantum Mechanics,Gemma 3 12B IT,kappa_L,10.246334,2293,222.787356532,22278.7356532,223.787356532,2.34983554625,ORDER_OF_MAGNITUDE_GT10X,kappa_L:MISMATCH;kappa_per_nm:MISMATCH;log10_T:MISMATCH,kappa_L;kappa_per_nm;log10_T
252e5a22-0a7b-412b-ae8c-1e0bc538da7c,V3,QM_TUNNEL_001,Quantum Mechanics,Gemma 3 12B IT,kappa_per_nm,10.246334,2293,222.787356532,22278.7356532,223.787356532,2.34983554625,ORDER_OF_MAGNITUDE_GT10X,kappa_L:MISMATCH;kappa_per_nm:MISMATCH;log10_T:MISMATCH,kappa_L;kappa_per_nm;log10_T
1af000e0-80c0-45b3-9f95-f707072fdac3,V3,QFT_CASIMIR_001,Quantum Field Theory,Mistral Small 3.2 24B Instruct,energy_per_area_uJ_m2,0.433375,65.2,149.447072397,14944.7072397,150.447072397,2.17738374107,ORDER_OF_MAGNITUDE_GT10X,energy_per_area_uJ_m2:MISMATCH;pressure_double_d_pa:MISMATCH;pressure_pa:MISMATCH,energy_per_area_uJ_m2;pressure_double_d_pa;pressure_pa
7acbd9b4-3991-424a-bd93-53630bd65ae6,V4,GR_PERI_001,General Relativity,Gemma 3 12B IT,advance_arcsec_orbit,0.103516,10.97,104.973955717,10497.3955717,105.973955717,2.02519914566,ORDER_OF_MAGNITUDE_GT10X,advance_arcsec_orbit:MISMATCH,advance_arcsec_orbit
a9f5c35a-ab37-4053-b796-3f9bc9da5c12,V4,STAT_LANDAUER_001,Statistical Mechanics,Mistral NeMo 12B,landauer_zJ,2.870979,304 \text{ zJ},104.887225229,10488.7225229,105.887225229,2.02484356778,ORDER_OF_MAGNITUDE_GT10X,landauer_meV:MISMATCH;landauer_zJ:MISMATCH,landauer_meV;landauer_zJ
6a0624c3-57f8-4327-8206-731c8c16e32e,V2,GR_ISCO_001,General Relativity,Ministral 3 8B,r_isco_km,88.620232,"8.86 \times 10^{3} \, \mathrm{km}",98.9771699988,9897.71699988,99.9771699988,1.99990083925,DECIMAL_OR_POWER_OF_TEN_SCALE,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km
ab92bfee-92d9-4fbc-b33c-4d25777badf5,V2,GR_ISCO_001,General Relativity,Mistral Small 3.2 24B Instruct,r_isco_km,88.620232,8859.6,98.9726563568,9897.26563568,99.9726563568,1.99988123183,DECIMAL_OR_POWER_OF_TEN_SCALE,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km
f517cb34-37e3-40da-9f4b-b4940a78c319,V4,GR_PERI_001,General Relativity,Mistral Small 3.2 24B Instruct,advance_arcsec_orbit,0.103516,8.74,83.4313922485,8343.13922485,84.4313922485,1.92650395072,ORDER_OF_MAGNITUDE_GT10X,advance_arcsec_orbit:MISMATCH,advance_arcsec_orbit
9a233092-d4f6-4160-a7d0-28edb2dbf792,V4,QFT_UNRUH_001,Quantum Field Theory,Llama 3.1 8B Instruct,accel_for_1K_e20,2.466083,183,73.2067481103,7320.67481103,74.2067481103,1.87044340034,ORDER_OF_MAGNITUDE_GT10X,accel_for_1K_e20:MISMATCH;unruh_temp_K:MISMATCH,accel_for_1K_e20;unruh_temp_K
4f06ea18-7b13-4c03-a4a7-37036abe296d,V3,COS_DL_001,Cosmology,Mistral NeMo 12B,dl_lcdm_mpc,989.315111,49999.99,49.5400043364,4954.00043364,50.5400043364,1.70363527485,ORDER_OF_MAGNITUDE_GT10X,dl_eds_mpc:MISMATCH;dl_lcdm_mpc:MISMATCH;dl_linear_mpc:MISMATCH;hubble_distance_mpc:MISMATCH,dl_eds_mpc;dl_lcdm_mpc;dl_linear_mpc;hubble_distance_mpc
