source_run_id,batch,scenario_id,category,model_name,original_deterministic_grade,original_error_tags,original_failed_fields,extraction_status,helper_status,field_name,expected_value,extracted_value,expected_abs_value,abs_error,rel_error,rel_error_percent,signed_error,signed_rel_error,original_rel_tolerance,original_abs_tolerance,original_field_pass,failure_type,abs_extracted_over_expected_ratio,signed_extracted_over_expected_ratio,log10_abs_ratio,sign_match,expected_sign,extracted_sign,expected_is_zero_or_near_zero,extracted_is_zero_or_near_zero,possible_factor_2_error,possible_factor_pi_error,possible_factor_10_error,possible_factor_100_error,possible_factor_1000_error,possible_reciprocal_error,possible_sign_flip,possible_zero_substitution,possible_unit_scale_error,possible_wrong_field_scale,wrong_field_scale_closest_field,preliminary_failure_pattern,notes
a3752b06-d12a-4b6f-b533-06abdc5a4a2d,V2,COS_CMB_001,Cosmology,Llama 3.1 8B Instruct,FAIL,T_rec_K:MISMATCH;log10_energy_ratio:MISMATCH;log10_number_ratio:MISMATCH,T_rec_K;log10_energy_ratio;log10_number_ratio,OK,OK,T_rec_K,3000.225,29885.275,3000.225,26885.05,8.96101125749,896.101125749,26885.05,8.96101125749,0.01,30.00225,false,numeric_mismatch,9.96101125749,9.96101125749,0.998303430919,true,positive,positive,false,false,false,false,true,false,false,false,false,false,false,false,,DECIMAL_OR_POWER_OF_TEN_SCALE,
0891d888-672d-4f87-bc31-5a40a8dfdd32,V2,GR_ISCO_001,General Relativity,Gemma 3 12B IT,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,OK,OK,f_gw_hz,439.604695,1.826e7,439.604695,18259560.3953,41536.3179761,4153631.79761,18259560.3953,41536.3179761,0.01,4.39604695,false,numeric_mismatch,41537.3179761,41537.3179761,4.61843845114,true,positive,positive,false,false,false,false,false,false,false,false,false,false,false,false,,ORDER_OF_MAGNITUDE_GT10X,gt1000_extreme_subset
0891d888-672d-4f87-bc31-5a40a8dfdd32,V2,GR_ISCO_001,General Relativity,Gemma 3 12B IT,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,OK,OK,f_orbital_hz,219.802347,9.13e6,219.802347,9129780.19765,41536.3180706,4153631.80706,9129780.19765,41536.3180706,0.01,2.19802347,false,numeric_mismatch,41537.3180706,41537.3180706,4.61843845212,true,positive,positive,false,false,false,false,false,false,false,false,false,false,false,false,f_gw_hz,ORDER_OF_MAGNITUDE_GT10X,closest_other_field=f_gw_hz;gt1000_extreme_subset
a043fef4-92a9-4e39-8b94-4099ce5d7bd8,V2,GR_ISCO_001,General Relativity,Gemma 3 27B IT,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH,f_gw_hz;f_orbital_hz,OK,OK,f_gw_hz,439.604695,4029.0,439.604695,3589.395305,8.16505225223,816.505225223,3589.395305,8.16505225223,0.01,4.39604695,false,numeric_mismatch,9.16505225223,9.16505225223,0.962134945325,true,positive,positive,false,false,false,false,false,false,false,false,false,false,false,false,,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,
a043fef4-92a9-4e39-8b94-4099ce5d7bd8,V2,GR_ISCO_001,General Relativity,Gemma 3 27B IT,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH,f_gw_hz;f_orbital_hz,OK,OK,f_orbital_hz,219.802347,2014.5,219.802347,1794.697653,8.16505227308,816.505227308,1794.697653,8.16505227308,0.01,2.19802347,false,numeric_mismatch,9.16505227308,9.16505227308,0.962134946313,true,positive,positive,false,false,false,false,false,false,false,false,false,false,false,false,f_gw_hz,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,closest_other_field=f_gw_hz
12ba6901-ab09-4608-812d-243a3ba8cb47,V2,GR_ISCO_001,General Relativity,Llama 3.1 8B Instruct,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,OK,OK,r_isco_km,88.620232,1.772\times10^{6},88.620232,1771911.37977,19994.4339998,1999443.39998,1771911.37977,19994.4339998,0.01,0.88620232,false,numeric_mismatch,19995.4339998,19995.4339998,4.30093083491,true,positive,positive,false,false,false,false,false,false,false,false,false,false,false,false,f_gw_hz,ORDER_OF_MAGNITUDE_GT10X,closest_other_field=f_gw_hz;gt1000_extreme_subset
6a0624c3-57f8-4327-8206-731c8c16e32e,V2,GR_ISCO_001,General Relativity,Ministral 3 8B,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,OK,OK,r_isco_km,88.620232,"8.86 \times 10^{3} \, \mathrm{km}",88.620232,8771.379768,98.9771699988,9897.71699988,8771.379768,98.9771699988,0.01,0.88620232,false,numeric_mismatch,99.9771699988,99.9771699988,1.99990083925,true,positive,positive,false,false,false,false,false,true,false,false,false,false,false,false,f_gw_hz,DECIMAL_OR_POWER_OF_TEN_SCALE,closest_other_field=f_gw_hz;gt1000_extreme_subset
ab92bfee-92d9-4fbc-b33c-4d25777badf5,V2,GR_ISCO_001,General Relativity,Mistral Small 3.2 24B Instruct,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,OK,OK,r_isco_km,88.620232,8859.6,88.620232,8770.979768,98.9726563568,9897.26563568,8770.979768,98.9726563568,0.01,0.88620232,false,numeric_mismatch,99.9726563568,99.9726563568,1.99988123183,true,positive,positive,false,false,false,false,false,true,false,false,false,false,false,false,f_gw_hz,DECIMAL_OR_POWER_OF_TEN_SCALE,closest_other_field=f_gw_hz;gt1000_extreme_subset
b29759a2-66b7-4fc4-ba87-3dfd71ad6ba3,V2,QFT_G2_001,Quantum Field Theory,Gemma 3 12B IT,FAIL,anomaly_times_1e3:MISMATCH,anomaly_times_1e3,OK,OK,anomaly_times_1e3,1.16141,7.2337,1.16141,6.07229,5.22837757553,522.837757553,6.07229,5.22837757553,0.01,0.0116141,false,numeric_mismatch,6.22837757553,6.22837757553,0.794374932412,true,positive,positive,false,false,false,true,false,false,false,false,false,false,false,false,g_factor,COMMON_FACTOR_2_OR_PI,closest_other_field=g_factor
96198746-3f2d-4926-bcef-e8433bbb98d7,V2,QFT_G2_001,Quantum Field Theory,Mistral NeMo 12B,FAIL,anomaly_times_1e3:MISMATCH,anomaly_times_1e3,OK,OK,anomaly_times_1e3,1.16141,3.626,1.16141,2.46459,2.12206714253,212.206714253,2.46459,2.12206714253,0.01,0.0116141,false,numeric_mismatch,3.12206714253,3.12206714253,0.494442238673,true,positive,positive,false,false,false,true,false,false,false,false,false,false,false,false,g_factor,COMMON_FACTOR_2_OR_PI,closest_other_field=g_factor
