card_id,suggested_gate,source_run_id,batch,scenario_id,category,model_name,field_name,expected_value,extracted_value,abs_error,rel_error,rel_error_percent,abs_extracted_over_expected_ratio,signed_extracted_over_expected_ratio,log10_abs_ratio,original_rel_tolerance,original_abs_tolerance,sign_match,preliminary_failure_pattern,possible_factor_2_error,possible_factor_pi_error,possible_factor_10_error,possible_factor_100_error,possible_factor_1000_error,possible_reciprocal_error,possible_sign_flip,possible_unit_scale_error,possible_wrong_field_scale,closest_wrong_field_if_available,original_error_tags,original_failed_fields,plus_one_pp_secondary_category,bertscore_reasoning_only_v2_f1,rouge_l_f1,chrf_score,roscoe_reasoning_alignment,plain_english_diagnosis,audit_question,recommended_manual_decision_options,duplicate_cluster_note
Card 001,ORDER_OF_MAGNITUDE_GATE,69105aad-c0ce-42d1-bb33-a335484e353a,V3,QM_TUNNEL_001,Quantum Mechanics,Ministral 3 8B,kappa_per_nm,10.246334,2.70 \times 10^{10},26999999989.8,2635088802.47,263508880247,2635088803.47,2635088803.47,9.42079525568,0.01,0.10246334,true,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,false,false,false,false,false,,kappa_L:MISMATCH;kappa_per_nm:MISMATCH;log10_T:MISMATCH,kappa_L;kappa_per_nm;log10_T,HARD_FAIL,0.3922930061817169,0.8196721311475409,0.8225213237873427,0.9120562076568604,"The model value is about 2635088803.5 times the gold value, indicating an order-of-magnitude scale error.","Does this look like a genuine order-of-magnitude mistake, or does the value correspond to another field/unit?",CONFIRM_GATE;REJECT_GATE_FALSE_POSITIVE;REASSIGN_TO_DIFFERENT_GATE;NEEDS_SCENARIO_CONTEXT;NEEDS_RAW_ANSWER_REVIEW,same-row pattern cluster
Card 002,ORDER_OF_MAGNITUDE_GATE,0891d888-672d-4f87-bc31-5a40a8dfdd32,V2,GR_ISCO_001,General Relativity,Gemma 3 12B IT,f_orbital_hz,219.802347,9.13e6,9129780.19765,41536.3180706,4153631.80706,41537.3180706,41537.3180706,4.61843845212,0.01,2.19802347,true,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,false,false,false,false,false,f_gw_hz,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,HARD_FAIL,0.5839628577232361,0.7636363636363636,0.8521111872123373,0.8734539151191711,"The model value is about 41537.3 times the gold value, indicating an order-of-magnitude scale error.","Does this look like a genuine order-of-magnitude mistake, or does the value correspond to another field/unit?",CONFIRM_GATE;REJECT_GATE_FALSE_POSITIVE;REASSIGN_TO_DIFFERENT_GATE;NEEDS_SCENARIO_CONTEXT;NEEDS_RAW_ANSWER_REVIEW,same-row pattern cluster
Card 003,ORDER_OF_MAGNITUDE_GATE,12ba6901-ab09-4608-812d-243a3ba8cb47,V2,GR_ISCO_001,General Relativity,Llama 3.1 8B Instruct,r_isco_km,88.620232,1.772\times10^{6},1771911.37977,19994.4339998,1999443.39998,19995.4339998,19995.4339998,4.30093083491,0.01,0.88620232,true,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,false,false,false,false,false,f_gw_hz,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,HARD_FAIL,0.07304166257381439,0.32209737827715357,0.4522544782896129,0.7904766201972961,"The model value is about 19995.4 times the gold value, indicating an order-of-magnitude scale error.","Does this look like a genuine order-of-magnitude mistake, or does the value correspond to another field/unit?",CONFIRM_GATE;REJECT_GATE_FALSE_POSITIVE;REASSIGN_TO_DIFFERENT_GATE;NEEDS_SCENARIO_CONTEXT;NEEDS_RAW_ANSWER_REVIEW,same-row pattern cluster
Card 004,ORDER_OF_MAGNITUDE_GATE,0a1bfb8e-7794-43ce-a724-e54da756c20b,V2,SR_ROCKET_001,Special Relativity,Gemma 3 12B IT,distance_ly,0.563194,9208.2,9207.636806,16348.9611146,1634896.11146,16349.9611146,16349.9611146,4.21351672411,0.01,0.00563194,true,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,false,false,false,false,false,lab_time_yr,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,HARD_FAIL,0.4084946811199188,0.7389162561576355,0.8019893793376669,0.8695898652076721,"The model value is about 16350.0 times the gold value, indicating an order-of-magnitude scale error.","Does this look like a genuine order-of-magnitude mistake, or does the value correspond to another field/unit?",CONFIRM_GATE;REJECT_GATE_FALSE_POSITIVE;REASSIGN_TO_DIFFERENT_GATE;NEEDS_SCENARIO_CONTEXT;NEEDS_RAW_ANSWER_REVIEW,same-row pattern cluster
Card 005,ORDER_OF_MAGNITUDE_GATE,637b75a5-6869-433d-b669-e89b15b2555e,V3,GR_GPS_001,General Relativity,Llama 3.1 8B Instruct,velocity_shift_us_day,7.213057,-72200,72207.213057,10010.6255998,1001062.55998,10009.6255998,-10009.6255998,4.00041783343,0.01,0.07213057,false,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,false,false,false,false,false,,grav_shift_us_day:MISMATCH;net_shift_us_day:MISMATCH;velocity_shift_us_day:MISMATCH,grav_shift_us_day;net_shift_us_day;velocity_shift_us_day,HARD_FAIL,-0.058501631021499634,0.2181818181818182,0.3811387081132647,0.7910165786743164,"The model value is about 10009.6 times the gold value, indicating an order-of-magnitude scale error.","Does this look like a genuine order-of-magnitude mistake, or does the value correspond to another field/unit?",CONFIRM_GATE;REJECT_GATE_FALSE_POSITIVE;REASSIGN_TO_DIFFERENT_GATE;NEEDS_SCENARIO_CONTEXT;NEEDS_RAW_ANSWER_REVIEW,same-row pattern cluster
Card 006,ORDER_OF_MAGNITUDE_GATE,0ed2217a-06ad-4917-b517-25fdcad0cab9,V3,QFT_CASIMIR_001,Quantum Field Theory,Llama 3.1 8B Instruct,pressure_double_d_pa,0.812579,4300,4299.187421,5290.79316719,529079.316719,5291.79316719,5291.79316719,3.72360286119,0.01,0.00812579,true,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,false,false,false,false,false,pressure_pa,energy_per_area_uJ_m2:MISMATCH;pressure_double_d_pa:MISMATCH;pressure_pa:MISMATCH,energy_per_area_uJ_m2;pressure_double_d_pa;pressure_pa,HARD_FAIL,0.40535151958465576,0.6068515497553019,0.5208812108070093,0.9294244050979614,"The model value is about 5291.8 times the gold value, indicating an order-of-magnitude scale error.","Does this look like a genuine order-of-magnitude mistake, or does the value correspond to another field/unit?",CONFIRM_GATE;REJECT_GATE_FALSE_POSITIVE;REASSIGN_TO_DIFFERENT_GATE;NEEDS_SCENARIO_CONTEXT;NEEDS_RAW_ANSWER_REVIEW,same-row pattern cluster
Card 007,ORDER_OF_MAGNITUDE_GATE,633ca832-c7c2-4e57-8667-0e5462503514,V3,QM_TUNNEL_001,Quantum Mechanics,Gemma 3 27B IT,kappa_per_nm,10.246334,3.39 \times 10^4,33889.753666,3307.50038658,330750.038658,3308.50038658,3308.50038658,3.51963118972,0.01,0.10246334,true,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,false,false,false,false,false,,kappa_L:MISMATCH;kappa_per_nm:MISMATCH;log10_T:MISMATCH,kappa_L;kappa_per_nm;log10_T,HARD_FAIL,0.770108163356781,0.8726513569937371,0.8789222633057456,0.9303179979324341,"The model value is about 3308.5 times the gold value, indicating an order-of-magnitude scale error.","Does this look like a genuine order-of-magnitude mistake, or does the value correspond to another field/unit?",CONFIRM_GATE;REJECT_GATE_FALSE_POSITIVE;REASSIGN_TO_DIFFERENT_GATE;NEEDS_SCENARIO_CONTEXT;NEEDS_RAW_ANSWER_REVIEW,same-row pattern cluster
Card 008,ORDER_OF_MAGNITUDE_GATE,c5b81f9e-4521-4354-8a5d-745ff4c05bcf,V3,CM_APSIDAL_001,Classical Mechanics,Llama 3.1 8B Instruct,precession_per_period_deg,-105.441559,6.86,112.301559,1.06505973608,106.505973608,0.0650597360762,-0.0650597360762,-1.18668770283,0.01,1.05441559,false,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,false,false,false,false,false,apsidal_harmonic_deg,apsidal_n_minus1_deg:MISMATCH;precession_per_period_deg:MISMATCH,apsidal_n_minus1_deg;precession_per_period_deg,HARD_FAIL,0.827921450138092,0.8668407310704961,0.8566332946295925,0.9392566680908203,"The model value is about 0.065 times the gold value, indicating an order-of-magnitude scale error.","Does this look like a genuine order-of-magnitude mistake, or does the value correspond to another field/unit?",CONFIRM_GATE;REJECT_GATE_FALSE_POSITIVE;REASSIGN_TO_DIFFERENT_GATE;NEEDS_SCENARIO_CONTEXT;NEEDS_RAW_ANSWER_REVIEW,
Card 009,ORDER_OF_MAGNITUDE_GATE,8d88ebb6-c7fb-48bf-8150-c24d1049670c,V3,CM_APSIDAL_001,Classical Mechanics,Ministral 3 8B,precession_per_period_deg,-105.441559,9.4712,114.912759,1.08982416506,108.982416506,0.0898241650619,-0.0898241650619,-1.04660681098,0.01,1.05441559,false,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,false,false,false,false,false,apsidal_harmonic_deg,apsidal_n_minus1_deg:MISMATCH;precession_per_period_deg:MISMATCH,apsidal_n_minus1_deg;precession_per_period_deg,HARD_FAIL,0.4296875596046448,0.6501901140684412,0.6968313915567282,0.9259300231933594,"The model value is about 0.090 times the gold value, indicating an order-of-magnitude scale error.","Does this look like a genuine order-of-magnitude mistake, or does the value correspond to another field/unit?",CONFIRM_GATE;REJECT_GATE_FALSE_POSITIVE;REASSIGN_TO_DIFFERENT_GATE;NEEDS_SCENARIO_CONTEXT;NEEDS_RAW_ANSWER_REVIEW,
Card 010,ORDER_OF_MAGNITUDE_GATE,0ada0fb0-29cc-4f10-b31a-705df74e52ae,V3,GR_GPS_001,General Relativity,Gemma 3 12B IT,grav_shift_us_day,45.719299,544,498.280701,10.8986951222,1089.86951222,11.8986951222,11.8986951222,1.07549933683,0.01,0.45719299,true,ORDER_OF_MAGNITUDE_GT10X,false,false,false,false,false,false,false,false,false,,grav_shift_us_day:MISMATCH;net_shift_us_day:MISMATCH;velocity_shift_us_day:MISMATCH,grav_shift_us_day;net_shift_us_day;velocity_shift_us_day,HARD_FAIL,0.606954038143158,0.7204968944099379,0.5433495849735764,0.9509064555168152,"The model value is about 11.90 times the gold value, indicating an order-of-magnitude scale error.","Does this look like a genuine order-of-magnitude mistake, or does the value correspond to another field/unit?",CONFIRM_GATE;REJECT_GATE_FALSE_POSITIVE;REASSIGN_TO_DIFFERENT_GATE;NEEDS_SCENARIO_CONTEXT;NEEDS_RAW_ANSWER_REVIEW,
