metric,deterministic_pass_binary,chrf_score,chrf_precision,chrf_recall,rouge_l_f1,bertscore_full_f1,bertscore_no_final_f1,candidate_reference_length_ratio,candidate_reasoning_text_length_chars,reference_reasoning_text_length_chars
deterministic_pass_binary,0.9999999999999999,0.17289052328927268,0.0855375652423822,0.20541161766988367,0.1037592119410813,0.050780485867562855,0.10868572927219254,-0.023856310403062644,-0.042799482345142935,-0.07489790149977477
chrf_score,0.17289052328927268,1.0,0.8208479473308269,0.9474352646234193,0.9487822838568156,0.8250216940072269,0.9192489801091268,-0.5714775549942789,-0.6843491959204907,-0.4451982539904716
chrf_precision,0.0855375652423822,0.8208479473308269,1.0000000000000002,0.6187481529835993,0.9352536645629608,0.9604284482019563,0.9453177840652787,-0.7884240903887001,-0.7794361586096022,0.02713022329832194
chrf_recall,0.20541161766988367,0.9474352646234193,0.6187481529835993,0.9999999999999999,0.8183756019999902,0.6448667371662151,0.7796176423500694,-0.30520907938695546,-0.4800637966598963,-0.6293813868382732
rouge_l_f1,0.1037592119410813,0.9487822838568156,0.9352536645629608,0.8183756019999902,1.0,0.9359667596424396,0.977967777466639,-0.7118739390493264,-0.7904151388663914,-0.2656366220689165
bertscore_full_f1,0.050780485867562855,0.8250216940072269,0.9604284482019563,0.6448667371662151,0.9359667596424396,1.0,0.9624995095086721,-0.7561984071680298,-0.7725006148292963,-0.020416762473685342
bertscore_no_final_f1,0.10868572927219254,0.9192489801091268,0.9453177840652787,0.7796176423500694,0.977967777466639,0.9624995095086721,1.0,-0.6916898006334651,-0.7510347980159404,-0.21245922973806197
candidate_reference_length_ratio,-0.023856310403062644,-0.5714775549942789,-0.7884240903887001,-0.30520907938695546,-0.7118739390493264,-0.7561984071680298,-0.6916898006334651,1.0,0.919400118525778,-0.21046398207689623
candidate_reasoning_text_length_chars,-0.042799482345142935,-0.6843491959204907,-0.7794361586096022,-0.4800637966598963,-0.7904151388663914,-0.7725006148292963,-0.7510347980159404,0.919400118525778,1.0,0.1300871302672614
reference_reasoning_text_length_chars,-0.07489790149977477,-0.4451982539904716,0.02713022329832194,-0.6293813868382732,-0.2656366220689165,-0.020416762473685342,-0.21245922973806197,-0.21046398207689623,0.1300871302672614,1.0
