batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,chrf_score,chrf_precision,chrf_recall,rouge_l_f1,bertscore_no_final_f1,source_run_id
V4,SR_TWIN_001,Special Relativity,Gemma 3 27B IT,FAIL,earth_time_yr:MISMATCH;traveler_time_yr:MISMATCH,earth_time_yr;traveler_time_yr,0.9751084394461151,0.952229733806784,0.9810009333446663,0.9651376146788991,0.9658753871917725,e393f274-ca90-4884-a598-72d0a544a214
V4,STAT_LANDAUER_001,Statistical Mechanics,Gemma 3 12B IT,FAIL,landauer_meV:MISMATCH;landauer_zJ:MISMATCH,landauer_meV;landauer_zJ,0.9633063332780851,0.9461925282718674,0.9676819544603081,0.9473684210526315,0.9415361285209656,35cbf917-fdbe-4d9a-ad8e-72e1515207f8
V4,STAT_LANDAUER_001,Statistical Mechanics,Gemma 3 27B IT,FAIL,landauer_meV:MISMATCH,landauer_meV,0.9630184943393981,0.9439467882553153,0.9679074474520305,0.9473684210526315,0.9439312815666199,1c025782-1745-4b84-8da5-82a9a85a1fb9
V4,STAT_LANDAUER_001,Statistical Mechanics,Mistral Small 3.2 24B Instruct,FAIL,landauer_meV:MISMATCH;landauer_zJ:MISMATCH,landauer_meV;landauer_zJ,0.9614643048970645,0.9424234447122648,0.9663453503574746,0.9473684210526315,0.9378304481506348,da4ea072-41a1-4b37-b488-090c88c329b3
V2,COS_CMB_001,Cosmology,Mistral NeMo 12B,FAIL,log10_energy_ratio:MISMATCH;log10_number_ratio:MISMATCH,log10_energy_ratio;log10_number_ratio,0.9604795407965007,0.9303475671556127,0.9683199957018752,0.9583333333333334,0.9728729128837585,5bde406e-bcbd-4d75-9974-030635a1f45a
V3,QI_WERNER_001,Quantum Information Theory,Mistral NeMo 12B,FAIL,concurrence_at_p05:MISMATCH,concurrence_at_p05,0.9574304059550219,0.9491220790479108,0.9595302652082737,0.9502262443438915,0.9309871792793274,739669d7-f24b-48b0-aaa4-7ea7484fd9f5
V5,COS_AGE_001,Cosmology,Gemma 3 27B IT,FAIL,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,0.9566459294662385,0.9221384996710896,0.9656801307626677,0.9490022172949002,0.9449343085289001,672d5859-333f-4a64-a9bf-0605af9f8987
V2,QI_TELEPORT_001,Quantum Information Theory,Ministral 3 8B,FAIL,classical_limit:UNPARSEABLE:parse-fail:TokenError,classical_limit,0.9503046264772385,0.9246171488715572,0.9569510690578669,0.9234828496042217,0.9328635334968567,9584a665-3773-4c3a-a6fd-e7fe2777cbbb
V2,STAT_ISING_001,Statistical Mechanics,Mistral NeMo 12B,FAIL,ratio_exact_mf:MISMATCH;tc_exact:MISMATCH,ratio_exact_mf;tc_exact,0.9487425829512511,0.9029099047602644,0.9609371336411222,0.9409090909090909,0.9059381484985352,1578b708-15cc-4472-862d-060fbdc5e95c
V2,SR_ROCKET_001,Special Relativity,Mistral Small 3.2 24B Instruct,FAIL,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,0.9478786425598541,0.9231356548737902,0.9542730348209093,0.9453781512605043,0.9719769358634949,8dd9d539-5113-456a-ad1b-2987c0bf85c9
V2,SR_ROCKET_001,Special Relativity,Gemma 3 27B IT,FAIL,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,0.941856856738825,0.9182634583257682,0.947945867557154,0.9453781512605043,0.9652096629142761,0fdbc6f7-aa2f-4d13-85e3-1de67d52d0f1
V3,CM_APSIDAL_001,Classical Mechanics,Mistral NeMo 12B,FAIL,apsidal_n_minus1_deg:MISMATCH;precession_per_period_deg:MISMATCH,apsidal_n_minus1_deg;precession_per_period_deg,0.9399121213051227,0.9291451459358192,0.9426429684898092,0.9426433915211969,0.9390004277229309,4e065114-6895-4037-9f9c-d85e9790bfc5
V5,COS_AGE_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,0.9373615439882558,0.9151931030816995,0.9430724826227428,0.9466666666666667,0.9474597573280334,1ee8b3c0-af92-4328-a2c2-8a46d9dacbde
