batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,chrf_score,chrf_precision,chrf_recall,rouge_l_f1,bertscore_no_final_f1,source_run_id
V2,QM_BERRY_001,Quantum Mechanics,Granite 4.1 8B,PASS,,,0.40644689979788484,0.1638455726386531,0.6453255450232803,0.25503355704697983,-0.11703328043222427,bfead667-22b7-4add-82bd-2984b62eeac1
V5,CM_TOP_001,Classical Mechanics,Granite 4.1 8B,PASS,,,0.41027430032129536,0.1750480597439475,0.6178320176651353,0.24506749740394598,-0.19409604370594025,5662b68d-3be1-4094-aa82-9419c9d43619
V3,QFT_CASIMIR_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,0.44286624664115803,0.2957488380471688,0.5057629758962474,0.2820705176294073,-0.04036323353648186,81351b41-e944-416c-979d-7650f60107cb
V5,QFT_YUKAWA_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,0.4522927007520598,0.24475212444836775,0.573968644958224,0.38061465721040194,-0.08787588030099869,61b3ada8-c08a-4081-8967-4f6ba358fb6c
V5,STAT_NEGT_001,Statistical Mechanics,Granite 4.1 8B,PASS,,,0.45697060622309005,0.35409234659103056,0.49276250440530645,0.28544949026876737,-0.016861718147993088,93598232-73aa-45f6-85f0-657ebcc3729c
V5,SR_FIZEAU_001,Special Relativity,Granite 4.1 8B,PASS,,,0.463650617236979,0.2457542560973491,0.5956922509147007,0.34823529411764703,-0.057818617671728134,f4735300-fd1d-4083-9bf8-63dcdaae1bf5
V4,QM_AB_001,Quantum Mechanics,Granite 4.1 8B,PASS,,,0.49175930154147585,0.3012843302600827,0.5840735959081921,0.3713450292397661,-0.1721431463956833,9fc843b5-b6bd-412e-9421-9525b76fb61a
V5,STAT_NEGT_001,Statistical Mechanics,Gemma 4 31B IT,PASS,,,0.4992625842129893,0.7710686918438028,0.45882773631904805,0.6558265582655827,0.4148646593093872,ee5a81f9-a90c-4382-9a75-63a9874c1bd4
V2,COS_CMB_001,Cosmology,Granite 4.1 8B,PASS,,,0.5012381027805652,0.2515142781675126,0.6667353750078856,0.4016506189821183,-0.07554664462804794,33b7ba26-8ce1-4c4c-aadf-b13a0800ceed
V3,COS_DL_001,Cosmology,Granite 4.1 8B,PASS,,,0.5041505561930941,0.29006103121963933,0.6182263669552127,0.40425531914893614,-0.0947883203625679,34cd051f-7d65-45c5-8ebf-a814fb4f5ed9
V3,CM_APSIDAL_001,Classical Mechanics,Granite 4.1 8B,PASS,,,0.5069660256725792,0.24782908481756025,0.6863942167615024,0.4086538461538462,-0.08287616819143295,d410a814-2896-4137-8dcd-4ea1e3fde257
V2,CM_FOUCAULT_001,Classical Mechanics,Llama 3.1 8B Instruct,PASS,,,0.5082019546592954,0.3555500743012787,0.5693087095895443,0.45622119815668205,0.20165619254112244,43b57069-ea6b-42b1-9339-b978dcf9ad74
V5,STAT_NEGT_001,Statistical Mechanics,Ministral 3 8B,PASS,,,0.5140886967249912,0.6676929218512686,0.48612988445915284,0.5633136094674556,0.3072226643562317,73a9174c-cf71-4e98-b525-770249d54949
V5,STAT_NEGT_001,Statistical Mechanics,Gemma 3 12B IT,PASS,,,0.5197757780426708,0.8292566035706762,0.4754188731088471,0.6620879120879122,0.4745762348175049,a1beefb6-d36c-4066-ad87-4b3bb312dbd0
V5,QI_CLONE_001,Quantum Information Theory,Granite 4.1 8B,PASS,,,0.5239089110207973,0.3075140460939972,0.6357521823965828,0.36070853462157804,0.039077017456293106,b228b816-1a6b-44f1-a48f-78cf05579c97
V4,SR_TWIN_001,Special Relativity,Granite 4.1 8B,PASS,,,0.5251869963193966,0.2749431162049306,0.6798902448160029,0.3548698167791707,-0.16293056309223175,660bac8a-431e-4e1e-a1b0-4327460893b8
V2,QFT_G2_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,0.5263696119760335,0.25059759789143676,0.7261416140973591,0.40930232558139534,-0.0167066790163517,4013320a-823c-4eea-a0f8-eff99460982d
V2,QI_TELEPORT_001,Quantum Information Theory,Granite 4.1 8B,PASS,,,0.5489809146217477,0.32386861412970236,0.6644393656898168,0.4584837545126353,0.16284263134002686,b82bd97e-a127-4a93-adc1-3fd1abd73acc
V5,STAT_NEGT_001,Statistical Mechanics,Gemma 3 27B IT,PASS,,,0.5626789195521144,0.9871813777753146,0.5080605492737537,0.7165932452276066,0.647032618522644,98458b1f-1823-40a8-b93e-9045fb1f1fca
V5,STAT_NEGT_001,Statistical Mechanics,Mistral Small 3.2 24B Instruct,PASS,,,0.5645817910469465,0.9882811618557693,0.5099273318682693,0.7195301027900146,0.6556558012962341,4690da56-958f-4964-808a-a6e06eb2b7a0
