source_run_id,batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,selected_roscoe_metric_name,selected_roscoe_score,roscoe_available_mean,bertscore_reasoning_only_v2_f1,rouge_l_f1,chrf_score
81351b41-e944-416c-979d-7650f60107cb,V3,QFT_CASIMIR_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,reasoning_alignment,0.7981340289115906,0.8489416837692261,-0.04036323353648186,0.2820705176294073,0.44286624664115803
93598232-73aa-45f6-85f0-657ebcc3729c,V5,STAT_NEGT_001,Statistical Mechanics,Granite 4.1 8B,PASS,,,reasoning_alignment,0.8306277394294739,0.8558215498924255,-0.016861718147993088,0.28544949026876737,0.45697060622309005
9fc843b5-b6bd-412e-9421-9525b76fb61a,V4,QM_AB_001,Quantum Mechanics,Granite 4.1 8B,PASS,,,reasoning_alignment,0.8412985801696777,0.8660531520843506,-0.1721431463956833,0.3713450292397661,0.49175930154147585
5662b68d-3be1-4094-aa82-9419c9d43619,V5,CM_TOP_001,Classical Mechanics,Granite 4.1 8B,PASS,,,reasoning_alignment,0.8413980603218079,0.876303744316101,-0.19409604370594025,0.24506749740394598,0.41027430032129536
491a2baf-b665-4ce6-837c-9a9d3c21f9ed,V4,COS_DESITTER_001,Cosmology,Gemma 4 31B IT,PASS,,,reasoning_alignment,0.8428804278373718,0.8862744450569153,-0.06891496479511261,0.4243119266055046,0.668288906496323
660bac8a-431e-4e1e-a1b0-4327460893b8,V4,SR_TWIN_001,Special Relativity,Granite 4.1 8B,PASS,,,reasoning_alignment,0.8456990718841553,0.8799872636795044,-0.16293056309223175,0.3548698167791707,0.5251869963193966
b228b816-1a6b-44f1-a48f-78cf05579c97,V5,QI_CLONE_001,Quantum Information Theory,Granite 4.1 8B,PASS,,,reasoning_alignment,0.8510066270828247,0.9001466393470764,0.039077017456293106,0.36070853462157804,0.5239089110207973
f4735300-fd1d-4083-9bf8-63dcdaae1bf5,V5,SR_FIZEAU_001,Special Relativity,Granite 4.1 8B,PASS,,,reasoning_alignment,0.8545741438865662,0.8633727073669434,-0.057818617671728134,0.34823529411764703,0.463650617236979
4013320a-823c-4eea-a0f8-eff99460982d,V2,QFT_G2_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,reasoning_alignment,0.8592219352722168,0.8894528746604919,-0.0167066790163517,0.40930232558139534,0.5263696119760335
61b3ada8-c08a-4081-8967-4f6ba358fb6c,V5,QFT_YUKAWA_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,reasoning_alignment,0.8626787662506104,0.8939354538917541,-0.08787588030099869,0.38061465721040194,0.4522927007520598
