row_key,source_run_id,sample_group,sample_rank_or_seed,batch,scenario_id,category,model_name,deterministic_grade,deterministic_pass_binary,extraction_status,helper_status,error_tags,failed_fields,candidate_reasoning_text_sha256,reference_reasoning_text_sha256,candidate_reasoning_text_length_chars,reference_reasoning_text_length_chars,informativeness_chain,informativeness_step,reasoning_alignment,repetition_step,semantic_coverage_chain,semantic_coverage_step,roscoe_available_mean,selected_roscoe_metric_name,selected_roscoe_score,roscoe_scoring_status,roscoe_error_if_any,bertscore_reasoning_only_v2_f1,rouge_l_f1,chrf_score,candidate_reference_length_ratio
V2|SR_ROCKET_001|Mistral Small 3.2 24B Instruct|8dd9d539-5113-456a-ad1b-2987c0bf85c9,8dd9d539-5113-456a-ad1b-2987c0bf85c9,high_overlap_fail,1,V2,SR_ROCKET_001,Special Relativity,Mistral Small 3.2 24B Instruct,FAIL,0,OK,OK,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,32814f5c9e054546266dbfd6ab71a4fbf1c249fda563813e0f21857e5a065b01,cd8d32e0aae1187f760dc527a9a5d4d2071b8c1130a8427299ff0f6b0bb48f6f,739,714,0.9991947412490845,0.9745888113975525,0.970308780670166,0.03336828947067261,0.9991947412490845,0.970308780670166,0.9827191710472107,reasoning_alignment,0.970308780670166,scored,,0.9328727126121521,0.9453781512605043,0.9478786425598541,1.0014005602240896
V2|SR_ROCKET_001|Gemma 3 27B IT|0fdbc6f7-aa2f-4d13-85e3-1de67d52d0f1,0fdbc6f7-aa2f-4d13-85e3-1de67d52d0f1,high_overlap_fail,2,V2,SR_ROCKET_001,Special Relativity,Gemma 3 27B IT,FAIL,0,OK,OK,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,975ab715398d18ae09efe18ac101b4d983ed4d71ed1939880c089cfad80d7164,cd8d32e0aae1187f760dc527a9a5d4d2071b8c1130a8427299ff0f6b0bb48f6f,738,714,0.999023973941803,0.9676854610443115,0.9635186195373535,0.02178168296813965,0.999023973941803,0.9635186195373535,0.9785541296005249,reasoning_alignment,0.9635186195373535,scored,,0.9275230169296265,0.9453781512605043,0.941856856738825,1.0
V2|COS_CMB_001|Mistral NeMo 12B|5bde406e-bcbd-4d75-9974-030635a1f45a,5bde406e-bcbd-4d75-9974-030635a1f45a,high_overlap_fail,3,V2,COS_CMB_001,Cosmology,Mistral NeMo 12B,FAIL,0,OK,OK,log10_energy_ratio:MISMATCH;log10_number_ratio:MISMATCH,log10_energy_ratio;log10_number_ratio,32e40fec6b8aded121545e501e444bd7c3e7a66c1675d3cc5daae2431ab192a9,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b,590,566,0.9982490539550781,0.9547209739685059,0.9449743032455444,0.03336825966835022,0.9982490539550781,0.9449743032455444,0.9682335376739502,reasoning_alignment,0.9449743032455444,scored,,0.9269124269485474,0.9583333333333334,0.9604795407965007,1.0
V5|GR_CHIRP_001|Mistral Small 3.2 24B Instruct|6829aa30-fc54-4ffc-9602-72f72f6cd43d,6829aa30-fc54-4ffc-9602-72f72f6cd43d,high_overlap_fail,4,V5,GR_CHIRP_001,General Relativity,Mistral Small 3.2 24B Instruct,FAIL,0,OK,OK,chirp_mass_msun:MISMATCH;each_mass_msun:MISMATCH;total_mass_msun:MISMATCH,chirp_mass_msun;each_mass_msun;total_mass_msun,74e3c172d1555e72165ea128ad4b23915a3e5cfe94d94ebad4a6cf1166e29ced,2bad04ee164accd640886901b864bbd9744e14d1284b23ed9ca1df3e38a0fdc0,635,609,0.997622013092041,0.9523299932479858,0.941616415977478,0.018732905387878418,0.997622013092041,0.941616415977478,0.9661613702774048,reasoning_alignment,0.941616415977478,scored,,0.9213840365409851,0.9517819706498951,0.9342505297932944,1.0032840722495895
V4|SR_TWIN_001|Gemma 3 27B IT|e393f274-ca90-4884-a598-72d0a544a214,e393f274-ca90-4884-a598-72d0a544a214,high_overlap_fail,5,V4,SR_TWIN_001,Special Relativity,Gemma 3 27B IT,FAIL,0,OK,OK,earth_time_yr:MISMATCH;traveler_time_yr:MISMATCH,earth_time_yr;traveler_time_yr,4941022e91beb99eb7f4e5a499b201dfccf29406b99422861a006ab1e57e2014,6279d888734fce89bb96c5b0a953a597ba7ce248ce61323c03eda6c617c34690,891,863,0.9982901811599731,0.9804115891456604,0.9778833985328674,0.03336825966835022,0.9982901811599731,0.9778833985328674,0.9865517497062684,reasoning_alignment,0.9778833985328674,scored,,0.917246401309967,0.9651376146788991,0.9751084394461151,1.0034762456546928
V5|COS_AGE_001|Mistral Small 3.2 24B Instruct|1ee8b3c0-af92-4328-a2c2-8a46d9dacbde,1ee8b3c0-af92-4328-a2c2-8a46d9dacbde,high_overlap_fail,6,V5,COS_AGE_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,0,OK,OK,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,78d20c092a3f0ed3532bd877c4610bac489a75f0bc5d941f760972799713f8e8,b644dc9d765602c3ad7096a8aa8f5bebf146df7f4708b1b8b00cef88b1dd3ed2,680,659,0.997217059135437,0.9591658115386963,0.9519320130348206,0.03336825966835022,0.997217059135437,0.9519320130348206,0.9714927911758423,reasoning_alignment,0.9519320130348206,scored,,0.9105151295661926,0.9466666666666667,0.9373615439882558,0.9954476479514416
V4|COS_DESITTER_001|Mistral Small 3.2 24B Instruct|13d804f3-30ad-428a-ad9d-7f48deb28505,13d804f3-30ad-428a-ad9d-7f48deb28505,high_overlap_fail,7,V4,COS_DESITTER_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,0,OK,OK,efolds_to_gh:MISMATCH;gh_temp_e30_K:MISMATCH;horizon_gpc:MISMATCH,efolds_to_gh;gh_temp_e30_K;horizon_gpc,aa764904f20107ce50aba23b2dbbb9c98763e07bc0b9bdd87a0d1b7bf435ff41,3db481ad89139692ca47b67d9c88b08f75f7097f8915aed0da7ab5fe09586b35,650,632,0.9975652694702148,0.9622097015380859,0.9552719593048096,0.03336825966835022,0.9975652694702148,0.9552719593048096,0.973576831817627,reasoning_alignment,0.9552719593048096,scored,,0.9080313444137573,0.9387755102040817,0.9226676326597103,0.990506329113924
V5|COS_AGE_001|Gemma 3 27B IT|672d5859-333f-4a64-a9bf-0605af9f8987,672d5859-333f-4a64-a9bf-0605af9f8987,high_overlap_fail,8,V5,COS_AGE_001,Cosmology,Gemma 3 27B IT,FAIL,0,OK,OK,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,64d1b78507af98eba204a77f30bceba545974d20277869728797830bd0a74122,b644dc9d765602c3ad7096a8aa8f5bebf146df7f4708b1b8b00cef88b1dd3ed2,691,659,0.9954761862754822,0.9736684560775757,0.9642623662948608,0.029760658740997314,0.9954761862754822,0.9642623662948608,0.9786291122436523,reasoning_alignment,0.9642623662948608,scored,,0.9066815376281738,0.9490022172949002,0.9566459294662385,1.0121396054628224
V5|QM_RT_001|Mistral Small 3.2 24B Instruct|d765a40d-fb04-4ffc-9811-18c108bbbc6d,d765a40d-fb04-4ffc-9811-18c108bbbc6d,high_overlap_fail,9,V5,QM_RT_001,Quantum Mechanics,Mistral Small 3.2 24B Instruct,FAIL,0,OK,OK,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,a03231a679d5e85461001acbe73403d0a61b61ae9e3f5c11084b37c1e05124fa,1567603e8673868987e22e34a4aa6fccb593ddc1a1abc8cdf2d6372125edbab6,880,867,0.996848464012146,0.9621372222900391,0.9586105346679688,0.03336828947067261,0.996848464012146,0.9586105346679688,0.9746110439300537,reasoning_alignment,0.9586105346679688,scored,,0.9046378135681152,0.95,0.9347036354019523,0.9873125720876585
V4|STAT_LANDAUER_001|Gemma 3 27B IT|1c025782-1745-4b84-8da5-82a9a85a1fb9,1c025782-1745-4b84-8da5-82a9a85a1fb9,high_overlap_fail,10,V4,STAT_LANDAUER_001,Statistical Mechanics,Gemma 3 27B IT,FAIL,0,OK,OK,landauer_meV:MISMATCH,landauer_meV,2231d5e42f4d8ee59772dcd845a8d56f134c4bbc2aced086d351ef5b4cee241a,409342097382f1190bbbca7e412610e88e6e082c85b20e7fb2a41153af08e48b,771,751,0.9978621602058411,0.9676876068115234,0.958980143070221,0.03336828947067261,0.9978621602058411,0.958980143070221,0.9762744426727294,reasoning_alignment,0.958980143070221,scored,,0.895334780216217,0.9473684210526315,0.9630184943393981,0.9946737683089214
