batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,rouge_l_f1,rouge_l_precision,rouge_l_recall,bertscore_no_final_f1,source_run_id
V4,SR_TWIN_001,Special Relativity,Gemma 3 27B IT,FAIL,earth_time_yr:MISMATCH;traveler_time_yr:MISMATCH,earth_time_yr;traveler_time_yr,0.9651376146788991,0.9460431654676259,0.9850187265917603,0.9658753871917725,e393f274-ca90-4884-a598-72d0a544a214
V2,COS_CMB_001,Cosmology,Mistral NeMo 12B,FAIL,log10_energy_ratio:MISMATCH;log10_number_ratio:MISMATCH,log10_energy_ratio;log10_number_ratio,0.9583333333333334,0.934010152284264,0.983957219251337,0.9728729128837585,5bde406e-bcbd-4d75-9974-030635a1f45a
V5,GR_CHIRP_001,General Relativity,Mistral Small 3.2 24B Instruct,FAIL,chirp_mass_msun:MISMATCH;each_mass_msun:MISMATCH;total_mass_msun:MISMATCH,chirp_mass_msun;each_mass_msun;total_mass_msun,0.9517819706498951,0.934156378600823,0.9700854700854701,0.9539243578910828,6829aa30-fc54-4ffc-9602-72f72f6cd43d
V3,QI_WERNER_001,Quantum Information Theory,Mistral NeMo 12B,FAIL,concurrence_at_p05:MISMATCH,concurrence_at_p05,0.9502262443438915,0.9333333333333333,0.967741935483871,0.9309871792793274,739669d7-f24b-48b0-aaa4-7ea7484fd9f5
V5,QM_RT_001,Quantum Mechanics,Gemma 3 27B IT,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,0.95,0.9320754716981132,0.9686274509803922,0.9205643534660339,8e410338-dd01-4f15-bb14-db80d59a5d02
V5,QM_RT_001,Quantum Mechanics,Mistral Small 3.2 24B Instruct,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,0.95,0.9320754716981132,0.9686274509803922,0.9319456815719604,d765a40d-fb04-4ffc-9811-18c108bbbc6d
V5,COS_AGE_001,Cosmology,Gemma 3 27B IT,FAIL,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,0.9490022172949002,0.9264069264069265,0.9727272727272728,0.9449343085289001,672d5859-333f-4a64-a9bf-0605af9f8987
V4,STAT_LANDAUER_001,Statistical Mechanics,Gemma 3 27B IT,FAIL,landauer_meV:MISMATCH,landauer_meV,0.9473684210526315,0.9230769230769231,0.972972972972973,0.9439312815666199,1c025782-1745-4b84-8da5-82a9a85a1fb9
V4,STAT_LANDAUER_001,Statistical Mechanics,Gemma 3 12B IT,FAIL,landauer_meV:MISMATCH;landauer_zJ:MISMATCH,landauer_meV;landauer_zJ,0.9473684210526315,0.9230769230769231,0.972972972972973,0.9415361285209656,35cbf917-fdbe-4d9a-ad8e-72e1515207f8
V4,STAT_LANDAUER_001,Statistical Mechanics,Mistral Small 3.2 24B Instruct,FAIL,landauer_meV:MISMATCH;landauer_zJ:MISMATCH,landauer_meV;landauer_zJ,0.9473684210526315,0.9230769230769231,0.972972972972973,0.9378304481506348,da4ea072-41a1-4b37-b488-090c88c329b3
