batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,rouge_l_f1,rouge_l_precision,rouge_l_recall,bertscore_no_final_f1,source_run_id
V5,CM_TOP_001,Classical Mechanics,Granite 4.1 8B,PASS,,,0.24506749740394598,0.15128205128205127,0.644808743169399,-0.19409604370594025,5662b68d-3be1-4094-aa82-9419c9d43619
V2,QM_BERRY_001,Quantum Mechanics,Granite 4.1 8B,PASS,,,0.25503355704697983,0.1535796766743649,0.751412429378531,-0.11703328043222427,bfead667-22b7-4add-82bd-2984b62eeac1
V3,QFT_CASIMIR_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,0.2820705176294073,0.19915254237288135,0.4832904884318766,-0.04036323353648186,81351b41-e944-416c-979d-7650f60107cb
V5,STAT_NEGT_001,Statistical Mechanics,Granite 4.1 8B,PASS,,,0.28544949026876737,0.23839009287925697,0.3556581986143187,-0.016861718147993088,93598232-73aa-45f6-85f0-657ebcc3729c
V5,SR_FIZEAU_001,Special Relativity,Granite 4.1 8B,PASS,,,0.34823529411764703,0.24104234527687296,0.6271186440677966,-0.057818617671728134,f4735300-fd1d-4083-9bf8-63dcdaae1bf5
V4,SR_TWIN_001,Special Relativity,Granite 4.1 8B,PASS,,,0.3548698167791707,0.23896103896103896,0.6891385767790262,-0.16293056309223175,660bac8a-431e-4e1e-a1b0-4327460893b8
V5,QI_CLONE_001,Quantum Information Theory,Granite 4.1 8B,PASS,,,0.36070853462157804,0.25925925925925924,0.5925925925925926,0.039077017456293106,b228b816-1a6b-44f1-a48f-78cf05579c97
V4,QM_AB_001,Quantum Mechanics,Granite 4.1 8B,PASS,,,0.3713450292397661,0.25656565656565655,0.671957671957672,-0.1721431463956833,9fc843b5-b6bd-412e-9421-9525b76fb61a
V5,QFT_YUKAWA_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,0.38061465721040194,0.25967741935483873,0.7123893805309734,-0.08787588030099869,61b3ada8-c08a-4081-8967-4f6ba358fb6c
V2,COS_CMB_001,Cosmology,Granite 4.1 8B,PASS,,,0.4016506189821183,0.27037037037037037,0.7807486631016043,-0.07554664462804794,33b7ba26-8ce1-4c4c-aadf-b13a0800ceed
V3,COS_DL_001,Cosmology,Granite 4.1 8B,PASS,,,0.40425531914893614,0.2814814814814815,0.7169811320754716,-0.0947883203625679,34cd051f-7d65-45c5-8ebf-a814fb4f5ed9
V3,CM_APSIDAL_001,Classical Mechanics,Granite 4.1 8B,PASS,,,0.4086538461538462,0.2677165354330709,0.8629441624365483,-0.08287616819143295,d410a814-2896-4137-8dcd-4ea1e3fde257
V2,QFT_G2_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,0.40930232558139534,0.27906976744186046,0.7674418604651163,-0.0167066790163517,4013320a-823c-4eea-a0f8-eff99460982d
V4,COS_DESITTER_001,Cosmology,Gemma 4 31B IT,PASS,,,0.4243119266055046,0.27165932452276065,0.9685863874345549,-0.06891496479511261,491a2baf-b665-4ce6-837c-9a9d3c21f9ed
V3,SR_BELL_001,Special Relativity,Granite 4.1 8B,PASS,,,0.43687943262411344,0.30861723446893785,0.7475728155339806,-0.017498468980193138,d2552a2b-6eaa-4fa1-a60e-8e906f0bcb87
V2,CM_FOUCAULT_001,Classical Mechanics,Llama 3.1 8B Instruct,PASS,,,0.45622119815668205,0.39759036144578314,0.5351351351351351,0.20165619254112244,43b57069-ea6b-42b1-9339-b978dcf9ad74
V2,QI_TELEPORT_001,Quantum Information Theory,Granite 4.1 8B,PASS,,,0.4584837545126353,0.33866666666666667,0.7094972067039106,0.16284263134002686,b82bd97e-a127-4a93-adc1-3fd1abd73acc
V2,CM_FOUCAULT_001,Classical Mechanics,Granite 4.1 8B,PASS,,,0.4669887278582931,0.33256880733944955,0.7837837837837838,0.06529010832309723,6a439759-2c09-40f5-b714-5f0905b08611
V4,STAT_LANDAUER_001,Statistical Mechanics,Granite 4.1 8B,PASS,,,0.5079365079365079,0.3464566929133858,0.9513513513513514,-0.09831004589796066,c135ca95-a9ca-4c99-aecc-4d07f769530b
V3,QI_WERNER_001,Quantum Information Theory,Granite 4.1 8B,PASS,,,0.5363636363636364,0.39954853273137697,0.815668202764977,0.172477588057518,dadc5ed2-8765-42cd-b756-8e32ac2d9f45
