row_key,source_run_id,batch,scenario_id,category,model_name,deterministic_grade,deterministic_pass_binary,extraction_status,helper_status,review_status,error_tags,failed_fields,human_label_if_available,human_label_available,bertscore_full_precision,bertscore_full_recall,bertscore_full_f1,bertscore_no_final_precision,bertscore_no_final_recall,bertscore_no_final_f1,bertscore_full_minus_no_final_f1,candidate_full_text_length_chars,candidate_no_final_text_length_chars,reference_text_length_chars,final_block_removed_candidate,final_block_removed_reference,rouge_l_f1,chrf_score,candidate_reference_length_ratio
V4|QI_HOLEVO_001|Gemma 4 31B IT|0087022b-4054-4302-90e7-1c39288b64c9,0087022b-4054-4302-90e7-1c39288b64c9,V4,QI_HOLEVO_001,Quantum Information Theory,Gemma 4 31B IT,PASS,1,OK,OK,CLEAN,,,,False,0.583699643611908,0.8357976078987122,0.7074148654937744,0.8361441493034363,0.8672356009483337,0.8518898487091064,-0.14447498321533203,938,763,726,True,False,,,1.0509641873278237
V5|COS_AGE_001|Gemma 3 12B IT|0230819a-56b1-4d17-86d3-5f6eca9cc205,0230819a-56b1-4d17-86d3-5f6eca9cc205,V5,COS_AGE_001,Cosmology,Gemma 3 12B IT,FAIL,0,OK,OK,CLEAN,hubble_time_gyr:MISMATCH;lcdm_age_gyr:MISMATCH;matter_age_gyr:MISMATCH,hubble_time_gyr;lcdm_age_gyr;matter_age_gyr,,False,0.4612933099269867,0.8101143836975098,0.6308503746986389,0.7384924292564392,0.847529947757721,0.7928316593170166,-0.16198128461837769,922,751,659,True,False,,,1.1396054628224583
V2|SR_ROCKET_001|Granite 4.1 8B|03445593-5565-4d84-808b-961d8347ef18,03445593-5565-4d84-808b-961d8347ef18,V2,SR_ROCKET_001,Special Relativity,Granite 4.1 8B,FAIL,0,OK,OK,CLEAN,distance_ly:MISMATCH;lab_time_yr:MISMATCH,distance_ly;lab_time_yr,,False,-0.352912038564682,0.0531470850110054,-0.15660437941551208,-0.352912038564682,0.0531470850110054,-0.15660437941551208,0.0,2608,2450,714,True,False,,,3.4313725490196076
V4|QI_HOLEVO_001|Llama 3.1 8B Instruct|038e0394-8fac-49ea-be6a-c65b10f8f47d,038e0394-8fac-49ea-be6a-c65b10f8f47d,V4,QI_HOLEVO_001,Quantum Information Theory,Llama 3.1 8B Instruct,FAIL,0,OK,OK,CLEAN,avg_state_purity:MISMATCH;eigenvalue_large:MISMATCH;holevo_chi_bits:MISMATCH,avg_state_purity;eigenvalue_large;holevo_chi_bits,,False,0.5341026186943054,0.7236365675926208,0.6278647780418396,0.6938836574554443,0.7577908039093018,0.7261034846305847,-0.09823870658874512,977,810,726,True,False,,,1.115702479338843
V5|QFT_YUKAWA_001|Ministral 3 8B|03a1c01a-e98f-4fee-b8b4-d5a5ebfbdc9d,03a1c01a-e98f-4fee-b8b4-d5a5ebfbdc9d,V5,QFT_YUKAWA_001,Quantum Field Theory,Ministral 3 8B,PASS,1,OK,OK,CLEAN,,,,False,0.5627202391624451,0.9174902439117432,0.7349982261657715,0.9781506657600403,0.9736613035202026,0.9759440422058105,-0.24094581604003906,844,666,668,True,False,,,0.9970059880239521
V4|SR_TWIN_001|Mistral NeMo 12B|063e679c-7ca5-4ff4-b22f-9e6dbfbb775f,063e679c-7ca5-4ff4-b22f-9e6dbfbb775f,V4,SR_TWIN_001,Special Relativity,Mistral NeMo 12B,FAIL,0,OK,OK,CLEAN,traveler_time_yr:MISMATCH,traveler_time_yr,,False,0.5035001635551453,0.8785713911056519,0.6853037476539612,0.921127438545227,0.9076249003410339,0.914507269859314,-0.22920352220535278,1066,855,863,True,False,,,0.9907300115874855
V2|STAT_ISING_001|Ministral 3 8B|06aa69b6-039e-4f7c-91d6-191279776ccc,06aa69b6-039e-4f7c-91d6-191279776ccc,V2,STAT_ISING_001,Statistical Mechanics,Ministral 3 8B,PASS,1,OK,OK,CLEAN,,,,False,0.23941557109355927,0.7056581974029541,0.46336933970451355,0.5155951976776123,0.745660126209259,0.6288585662841797,-0.16548922657966614,927,758,656,True,False,,,1.1554878048780488
V2|GR_ISCO_001|Gemma 3 12B IT|0891d888-672d-4f87-bc31-5a40a8dfdd32,0891d888-672d-4f87-bc31-5a40a8dfdd32,V2,GR_ISCO_001,General Relativity,Gemma 3 12B IT,FAIL,0,OK,OK,CLEAN,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,,False,0.3137771487236023,0.7099007368087769,0.505449652671814,0.4747718572616577,0.7316169738769531,0.6008708477020264,-0.0954211950302124,1085,919,734,True,False,,,1.2520435967302452
V3|STAT_BEC_001|Mistral NeMo 12B|08aed30b-5c92-41e7-8512-8d612ffade64,08aed30b-5c92-41e7-8512-8d612ffade64,V3,STAT_BEC_001,Statistical Mechanics,Mistral NeMo 12B,FAIL,0,OK,OK,CLEAN,psd_at_2tc:MISMATCH;tc_nK:MISMATCH;tc_no_zeta_nK:MISMATCH,psd_at_2tc;tc_nK;tc_no_zeta_nK,,False,0.4873780608177185,0.8142968416213989,0.6466352939605713,0.9308763742446899,0.8525316119194031,0.891615629196167,-0.2449803352355957,804,563,671,True,False,,,0.8390461997019374
V5|CM_TOP_001|Llama 3.1 8B Instruct|09da2552-f5c9-4b6d-a531-830e1a95ff6b,09da2552-f5c9-4b6d-a531-830e1a95ff6b,V5,CM_TOP_001,Classical Mechanics,Llama 3.1 8B Instruct,FAIL,0,OK,OK,CLEAN,precession_double_spin:MISMATCH;precession_period_s:MISMATCH;precession_rad_s:MISMATCH,precession_double_spin;precession_period_s;precession_rad_s,,False,0.4945683479309082,0.8743472099304199,0.6785714030265808,0.9337565898895264,0.9126343131065369,0.9233006238937378,-0.24472922086715698,843,642,661,True,False,,,0.9712556732223904
