scenario_id,category,row_count,pass_count,fail_count,pass_rate,mean_bertscore_full_f1,median_bertscore_full_f1,min_bertscore_full_f1,max_bertscore_full_f1,mean_bertscore_no_final_f1,median_bertscore_no_final_f1,min_bertscore_no_final_f1,max_bertscore_no_final_f1,mean_candidate_reference_length_ratio,median_candidate_reference_length_ratio,min_candidate_reference_length_ratio,max_candidate_reference_length_ratio,full_PASS_minus_FAIL_gap,no_final_PASS_minus_FAIL_gap,average_candidate_length,average_reference_length
CM_APSIDAL_001,Classical Mechanics,8,3,5,0.375,0.4508753465488553,0.5633678436279297,-0.08287616819143295,0.6232309341430664,0.7335366876795888,0.890436977148056,-0.08287616819143295,0.9844576716423035,1.2747186495176848,1.0064308681672025,0.9646302250803859,2.9437299035369775,-0.12575380355119703,-0.186352721353372,792.875,622.0
CM_FOUCAULT_001,Classical Mechanics,8,7,1,0.875,0.46890527568757534,0.6156444847583771,0.06529010832309723,0.6917591691017151,0.6588834580034018,0.8839786946773529,0.06529010832309723,0.9805923104286194,1.2909379968203498,1.012718600953895,0.9841017488076311,2.120826709062003,-0.15577778858797892,-0.24149035768849514,812.0,629.0
CM_KAPITZA_001,Classical Mechanics,8,1,7,0.125,0.48915749322623014,0.6235242187976837,-0.06008379906415939,0.7007976770401001,0.6597817717120051,0.8466506898403168,-0.06008379906415939,0.9408732652664185,1.4893892339544514,1.0217391304347827,0.9503105590062112,2.8053830227743273,0.04761641898325514,-0.004808241767542687,719.375,483.0
CM_TOP_001,Classical Mechanics,8,6,2,0.75,0.5753795932978392,0.6943559646606445,-0.19409604370594025,0.7349618077278137,0.7821480240672827,0.9367493987083435,-0.19409604370594025,0.9891250729560852,1.3481467473524962,1.0196671709531013,0.9591527987897126,3.6671709531013614,-0.12608446925878525,-0.19264484693606698,891.125,661.0
COS_AGE_001,Cosmology,8,1,7,0.125,0.5135141415521502,0.6711101531982422,-0.20672689378261566,0.7632734179496765,0.6597200213000178,0.8592282235622406,-0.20672689378261566,0.981254518032074,1.4929817905918057,1.031866464339909,0.9893778452200304,3.9666160849772383,0.2854391730257443,0.367467996265207,983.875,659.0
COS_CMB_001,Cosmology,8,5,3,0.625,0.5137509265914559,0.6443934440612793,-0.07554664462804794,0.7031574845314026,0.7215539598837495,0.8966602385044098,-0.07554664462804794,0.9728729128837585,1.2727473498233215,1.0318021201413428,0.9752650176678446,2.7137809187279154,-0.24727631260951366,-0.3468001072605451,720.375,566.0
COS_DESITTER_001,Cosmology,8,1,7,0.125,0.21955682430416346,0.22253917902708054,-0.29742735624313354,0.7112431526184082,0.30727205518633127,0.2854336127638817,-0.29742735624313354,0.9508345723152161,1.9333465189873418,1.6273734177215189,0.990506329113924,3.5838607594936707,-0.32968204468488693,-0.42992802283593584,1221.875,632.0
COS_DL_001,Cosmology,8,5,3,0.625,0.48660228308290243,0.6061808168888092,-0.0947883203625679,0.6733954548835754,0.7081824010238051,0.8768688440322876,-0.0947883203625679,0.9663804173469543,1.192103109656301,1.006546644844517,0.9689034369885434,2.261865793780687,0.007474512358506491,0.013550164798895481,728.375,611.0
GR_CHIRP_001,General Relativity,8,0,8,0.0,0.4319732857402414,0.5890153646469116,-0.13571414351463318,0.7747526168823242,0.5229179987218231,0.7069175839424133,-0.13571414351463318,0.9539243578910828,1.6463464696223316,1.2323481116584565,0.9556650246305419,4.136288998357964,,,1002.625,609.0
GR_GPS_001,General Relativity,8,0,8,0.0,0.3443881385028362,0.3476273864507675,-0.16375485062599182,0.7468062043190002,0.25384421460330486,0.24770445376634598,-0.16375485062599182,0.5845264792442322,0.9733606557377049,0.6561102831594635,0.5014903129657228,2.1535022354694484,,,1306.25,1342.0
GR_ISCO_001,General Relativity,8,0,8,0.0,0.3579022898338735,0.5572226643562317,-0.3063206672668457,0.6754833459854126,0.4752111374400556,0.7095340192317963,-0.3063206672668457,0.9022299647331238,1.6025204359673024,1.138283378746594,1.0013623978201636,3.938692098092643,,,1176.25,734.0
GR_PERI_001,General Relativity,8,1,7,0.125,0.41848849318921566,0.4979046881198883,-0.21232415735721588,0.6922518610954285,0.5213087294250727,0.5678738355636597,-0.21232415735721588,0.893314003944397,2.1989208633093527,1.176978417266187,0.9597122302158273,9.164028776978418,-0.13903122927461353,-0.1427839930568423,1528.25,695.0
QFT_CASIMIR_001,Quantum Field Theory,8,1,7,0.125,0.5062902034260333,0.5787376165390015,-0.04036323353648186,0.6816774606704712,0.3919518650509417,0.43226389586925507,-0.04036323353648186,0.5462645888328552,0.691783345615328,0.5368459837877672,0.4767870302137067,1.8157700810611643,-0.6247467851000172,-0.49407439838562695,938.75,1357.0
QFT_G2_001,Quantum Field Theory,8,3,5,0.375,0.39260080037638545,0.3688667267560959,-0.0167066790163517,0.6538836359977722,0.5281114238314331,0.5117147266864777,-0.0167066790163517,0.8957847356796265,1.5029707495429616,1.2084095063985374,1.023765996343693,3.0621572212065815,-0.2000095638136069,-0.24192043468356128,822.125,547.0
QFT_UNRUH_001,Quantum Field Theory,7,2,5,0.2857142857142857,0.5573928079434803,0.5920346975326538,0.18565760552883148,0.7689459323883057,0.6848346718720028,0.763662576675415,0.21324166655540466,0.9563424587249756,1.1218592964824121,1.0364321608040201,0.9748743718592965,1.520100502512563,0.0889165848493576,0.12204412221908567,893.0,796.0
QFT_YUKAWA_001,Quantum Field Theory,8,7,1,0.875,0.611776384525001,0.714745432138443,-0.08787588030099869,0.7356642484664917,0.8186038685962558,0.9484731256961823,-0.08787588030099869,0.9769847989082336,1.1845059880239521,0.9962574850299402,0.9580838323353293,2.553892215568862,-0.077340974339417,-0.10243688843079979,791.25,668.0
QI_CLONE_001,Quantum Information Theory,8,8,0,1.0,0.5318293389864266,0.6586064398288727,0.039077017456293106,0.7388190627098083,0.7137599331326783,0.8941960334777832,0.039077017456293106,0.9722513556480408,1.1860994397759104,1.0028011204481793,0.803921568627451,2.1470588235294117,,,846.875,714.0
QI_HOLEVO_001,Quantum Information Theory,8,2,6,0.25,0.5184365101158619,0.6936927437782288,-0.38166603446006775,0.7465758919715881,0.6000122837722301,0.716747522354126,-0.38166603446006775,0.9226306676864624,1.4020316804407713,1.0909090909090908,0.9848484848484849,3.479338842975207,0.24785325427850086,0.23950456082820892,1017.875,726.0
QI_TELEPORT_001,Quantum Information Theory,8,6,2,0.75,0.5955673083662987,0.6529922485351562,0.11572164297103882,0.6939734816551208,0.8327926844358444,0.9192798733711243,0.16284263134002686,0.9600467681884766,1.119195688225539,0.9875621890547264,0.9552238805970149,2.0912106135986734,-0.06957138578097022,-0.11531625191370642,674.875,603.0
QI_WERNER_001,Quantum Information Theory,8,6,2,0.75,0.5754689108580351,0.6289452612400055,0.172477588057518,0.6574417352676392,0.8374908398836851,0.9312760829925537,0.172477588057518,0.9644626975059509,1.09375,0.994535519125683,0.9562841530054644,1.8401639344262295,-0.056601109604040745,-0.09581413120031357,800.625,732.0
QM_AB_001,Quantum Mechanics,8,4,4,0.5,0.581668870523572,0.6900345087051392,-0.1721431463956833,0.7365182042121887,0.779509300366044,0.9138081967830658,-0.1721431463956833,0.9696474671363831,1.1134328358208956,0.9925373134328359,0.9477611940298507,2.0014925373134327,-0.1933514140546322,-0.24168578907847404,746.0,670.0
QM_BERRY_001,Quantum Mechanics,8,8,0,1.0,0.5988417370244861,0.702538400888443,-0.11703328043222427,0.7121443748474121,0.7868688283488154,0.9159513413906097,-0.11703328043222427,0.9357061386108398,1.3765297202797202,0.9772727272727273,0.9405594405594405,4.153846153846154,,,787.375,572.0
QM_RT_001,Quantum Mechanics,8,1,7,0.125,0.5411355067044497,0.7262864112854004,-0.24835267663002014,0.7448796629905701,0.6821081843227148,0.9100602269172668,-0.24835267663002014,0.9351491928100586,1.2844579008073818,0.986159169550173,0.9803921568627451,3.0876585928489044,0.22346562785761692,0.2891897239855358,1113.625,867.0
QM_TUNNEL_001,Quantum Mechanics,7,1,6,0.14285714285714285,0.5814806691237858,0.6004138588905334,0.3922930061817169,0.6594151854515076,0.7404790818691254,0.7866290807723999,0.3922930061817169,0.8596237897872925,1.0408163265306123,0.9969924812030075,0.7654135338345864,1.350375939849624,0.05608503520488739,0.1378101259469986,692.1428571428571,665.0
SR_BELL_001,Special Relativity,8,8,0,1.0,0.5563976720441133,0.6621728539466858,-0.017498468980193138,0.7251842021942139,0.7654964805115014,0.9078199565410614,-0.017498468980193138,0.9935784339904785,1.1576946472019465,1.010948905109489,0.9793187347931873,2.0900243309002433,,,951.625,822.0
SR_FIZEAU_001,Special Relativity,8,8,0,1.0,0.5763008152134717,0.7396593987941742,-0.057818617671728134,0.7657498121261597,0.7234727297909558,0.9250037670135498,-0.057818617671728134,0.9612976908683777,1.231607142857143,1.0,0.9771428571428571,2.5385714285714287,,,862.125,700.0
SR_ROCKET_001,Special Relativity,8,1,7,0.125,0.4417861085385084,0.6134085953235626,-0.2188279777765274,0.7673898935317993,0.5651954244822264,0.7925708591938019,-0.2188279777765274,0.9719769358634949,1.4637605042016806,1.0294117647058822,0.9257703081232493,3.4313725490196076,0.3523253734622683,0.45825980603694916,1045.125,714.0
SR_TWIN_001,Special Relativity,8,6,2,0.75,0.5880292411893606,0.6829905211925507,-0.16293056309223175,0.7364532351493835,0.7962496932595968,0.9150557219982147,-0.16293056309223175,0.9772330522537231,1.2103128621089223,1.0034762456546928,0.9860950173812283,2.6616454229432214,-0.14546306182940805,-0.19192218035459518,1044.5,863.0
STAT_BEC_001,Statistical Mechanics,6,0,6,0.0,0.5288553858796755,0.6567775905132294,-0.02937813103199005,0.7201752662658691,0.6036968156695366,0.7121484279632568,-0.02937813103199005,0.891615629196167,1.4247391952309985,1.2317436661698957,0.8390461997019374,2.6646795827123695,,,956.0,671.0
STAT_ISING_001,Statistical Mechanics,8,7,1,0.875,0.558119647204876,0.6271550953388214,0.2180231213569641,0.6861555576324463,0.7598545514047146,0.8501037657260895,0.28512319922447205,0.9391590356826782,1.1019435975609757,1.038109756097561,0.9801829268292683,1.4984756097560976,-0.13075373002461022,-0.1669526823929378,722.875,656.0
STAT_LANDAUER_001,Statistical Mechanics,8,2,6,0.25,0.5069453278556466,0.6276161372661591,-0.09831004589796066,0.7398287653923035,0.6504477048292756,0.8056069612503052,-0.09831004589796066,0.9439312815666199,1.2233688415446071,1.036617842876165,0.9920106524633822,1.9427430093209055,-0.3721835774679979,-0.45581365252534545,918.75,751.0
STAT_NEGT_001,Statistical Mechanics,8,6,2,0.75,0.5172512144781649,0.5491541624069214,-0.016861718147993088,0.7506775259971619,0.43292836705222726,0.44472044706344604,-0.016861718147993088,0.6556558012962341,0.6736111111111112,0.5663398692810457,0.49607843137254903,1.4431372549019608,-0.09235591876010102,-0.07671996143956977,1030.625,1530.0
