batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,bertscore_no_final_f1,bertscore_full_f1,human_label_if_available,source_run_id
V2,COS_CMB_001,Cosmology,Mistral NeMo 12B,FAIL,log10_energy_ratio:MISMATCH;log10_number_ratio:MISMATCH,log10_energy_ratio;log10_number_ratio,0.9728729128837585,0.7031574845314026,,5bde406e-bcbd-4d75-9974-030635a1f45a
V2,SR_ROCKET_001,Special Relativity,Mistral Small 3.2 24B Instruct,FAIL,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,0.9719769358634949,0.7673898935317993,,8dd9d539-5113-456a-ad1b-2987c0bf85c9
V4,SR_TWIN_001,Special Relativity,Gemma 3 27B IT,FAIL,earth_time_yr:MISMATCH;traveler_time_yr:MISMATCH,earth_time_yr;traveler_time_yr,0.9658753871917725,0.7089493274688721,,e393f274-ca90-4884-a598-72d0a544a214
V2,SR_ROCKET_001,Special Relativity,Gemma 3 27B IT,FAIL,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,0.9652096629142761,0.7569486498832703,,0fdbc6f7-aa2f-4d13-85e3-1de67d52d0f1
V5,GR_CHIRP_001,General Relativity,Mistral Small 3.2 24B Instruct,FAIL,chirp_mass_msun:MISMATCH;each_mass_msun:MISMATCH;total_mass_msun:MISMATCH,chirp_mass_msun;each_mass_msun;total_mass_msun,0.9539243578910828,0.7747526168823242,,6829aa30-fc54-4ffc-9602-72f72f6cd43d
V4,COS_DESITTER_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,efolds_to_gh:MISMATCH;gh_temp_e30_K:MISMATCH;horizon_gpc:MISMATCH,efolds_to_gh;gh_temp_e30_K;horizon_gpc,0.9508345723152161,0.7112431526184082,,13d804f3-30ad-428a-ad9d-7f48deb28505
V5,COS_AGE_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,0.9474597573280334,0.7391736507415771,,1ee8b3c0-af92-4328-a2c2-8a46d9dacbde
V5,COS_AGE_001,Cosmology,Gemma 3 27B IT,FAIL,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,0.9449343085289001,0.7384436726570129,,672d5859-333f-4a64-a9bf-0605af9f8987
V4,STAT_LANDAUER_001,Statistical Mechanics,Gemma 3 27B IT,FAIL,landauer_meV:MISMATCH,landauer_meV,0.9439312815666199,0.7398287653923035,,1c025782-1745-4b84-8da5-82a9a85a1fb9
V4,STAT_LANDAUER_001,Statistical Mechanics,Gemma 3 12B IT,FAIL,landauer_meV:MISMATCH;landauer_zJ:MISMATCH,landauer_meV;landauer_zJ,0.9415361285209656,0.7374431490898132,,35cbf917-fdbe-4d9a-ad8e-72e1515207f8
