batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,bertscore_no_final_f1,bertscore_full_f1,human_label_if_available,source_run_id
V5,CM_TOP_001,Classical Mechanics,Granite 4.1 8B,PASS,,,-0.19409604370594025,-0.19409604370594025,,5662b68d-3be1-4094-aa82-9419c9d43619
V4,QM_AB_001,Quantum Mechanics,Granite 4.1 8B,PASS,,,-0.1721431463956833,-0.1721431463956833,,9fc843b5-b6bd-412e-9421-9525b76fb61a
V4,SR_TWIN_001,Special Relativity,Granite 4.1 8B,PASS,,,-0.16293056309223175,-0.16293056309223175,,660bac8a-431e-4e1e-a1b0-4327460893b8
V2,QM_BERRY_001,Quantum Mechanics,Granite 4.1 8B,PASS,,,-0.11703328043222427,-0.11703328043222427,,bfead667-22b7-4add-82bd-2984b62eeac1
V4,STAT_LANDAUER_001,Statistical Mechanics,Granite 4.1 8B,PASS,,,-0.09831004589796066,-0.09831004589796066,,c135ca95-a9ca-4c99-aecc-4d07f769530b
V3,COS_DL_001,Cosmology,Granite 4.1 8B,PASS,,,-0.0947883203625679,-0.0947883203625679,,34cd051f-7d65-45c5-8ebf-a814fb4f5ed9
V5,QFT_YUKAWA_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,-0.08787588030099869,-0.08787588030099869,,61b3ada8-c08a-4081-8967-4f6ba358fb6c
V3,CM_APSIDAL_001,Classical Mechanics,Granite 4.1 8B,PASS,,,-0.08287616819143295,-0.08287616819143295,,d410a814-2896-4137-8dcd-4ea1e3fde257
V2,COS_CMB_001,Cosmology,Granite 4.1 8B,PASS,,,-0.07554664462804794,-0.07554664462804794,,33b7ba26-8ce1-4c4c-aadf-b13a0800ceed
V4,COS_DESITTER_001,Cosmology,Gemma 4 31B IT,PASS,,,-0.06891496479511261,-0.06891496479511261,,491a2baf-b665-4ce6-837c-9a9d3c21f9ed
V5,SR_FIZEAU_001,Special Relativity,Granite 4.1 8B,PASS,,,-0.057818617671728134,-0.057818617671728134,,f4735300-fd1d-4083-9bf8-63dcdaae1bf5
V3,QFT_CASIMIR_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,-0.04036323353648186,-0.04036323353648186,,81351b41-e944-416c-979d-7650f60107cb
V3,SR_BELL_001,Special Relativity,Granite 4.1 8B,PASS,,,-0.017498468980193138,-0.017498468980193138,,d2552a2b-6eaa-4fa1-a60e-8e906f0bcb87
V5,STAT_NEGT_001,Statistical Mechanics,Granite 4.1 8B,PASS,,,-0.016861718147993088,-0.016861718147993088,,93598232-73aa-45f6-85f0-657ebcc3729c
V2,QFT_G2_001,Quantum Field Theory,Granite 4.1 8B,PASS,,,-0.0167066790163517,-0.0167066790163517,,4013320a-823c-4eea-a0f8-eff99460982d
V5,QI_CLONE_001,Quantum Information Theory,Granite 4.1 8B,PASS,,,0.039077017456293106,0.039077017456293106,,b228b816-1a6b-44f1-a48f-78cf05579c97
V2,CM_FOUCAULT_001,Classical Mechanics,Granite 4.1 8B,PASS,,,0.06529010832309723,0.06529010832309723,,6a439759-2c09-40f5-b714-5f0905b08611
V2,QI_TELEPORT_001,Quantum Information Theory,Granite 4.1 8B,PASS,,,0.16284263134002686,0.11572164297103882,,b82bd97e-a127-4a93-adc1-3fd1abd73acc
V3,QI_WERNER_001,Quantum Information Theory,Granite 4.1 8B,PASS,,,0.172477588057518,0.172477588057518,,dadc5ed2-8765-42cd-b756-8e32ac2d9f45
V2,CM_FOUCAULT_001,Classical Mechanics,Llama 3.1 8B Instruct,PASS,,,0.20165619254112244,0.20165619254112244,,43b57069-ea6b-42b1-9339-b978dcf9ad74
