bin_name,lower_bound_exclusive,upper_bound_inclusive,field_count,share_of_included_fields,original_pass_field_count,original_fail_field_count,original_row_pass_count,original_row_fail_count
exact_or_zero_error,0,0,108,0.145945945946,108,0,79,29
gt_0_to_0_1_percent,0,0.001,247,0.333783783784,247,0,205,42
gt_0_1_to_0_5_percent,0.001,0.005,76,0.102702702703,76,0,53,23
gt_0_5_to_1_percent,0.005,0.01,6,0.00810810810811,6,0,5,1
gt_1_to_1_25_percent,0.01,0.0125,3,0.00405405405405,0,3,0,3
gt_1_25_to_2_percent,0.0125,0.02,5,0.00675675675676,0,5,0,5
gt_2_to_3_percent,0.02,0.03,4,0.00540540540541,0,4,0,4
gt_3_to_5_percent,0.03,0.05,5,0.00675675675676,0,5,0,5
gt_5_to_10_percent,0.05,0.1,12,0.0162162162162,0,12,0,12
gt_10_to_25_percent,0.1,0.25,30,0.0405405405405,0,30,0,30
gt_25_to_50_percent,0.25,0.5,28,0.0378378378378,0,28,0,28
gt_50_to_100_percent,0.5,1,118,0.159459459459,0,118,0,118
gt_100_to_1000_percent,1,10,56,0.0756756756757,0,56,0,56
gt_1000_percent,10,inf,42,0.0567567567568,0,42,0,42
