scenario_id,field_name,numeric_field_count,included_count,excluded_count,mean_rel_error,median_rel_error,p90_rel_error,p95_rel_error,max_rel_error,fields_with_rel_error_lte_1_percent,fields_with_rel_error_lte_1_25_percent,fields_with_rel_error_lte_2_percent,fields_with_rel_error_lte_3_percent,fields_with_rel_error_lte_5_percent,fields_with_rel_error_gt_10_percent,fields_with_rel_error_gt_100_percent
CM_APSIDAL_001,apsidal_harmonic_deg,8,8,0,0,0,0,0,0,8,8,8,8,8,0,0
CM_APSIDAL_001,apsidal_kepler_deg,8,8,0,0,0,0,0,0,8,8,8,8,8,0,0
CM_APSIDAL_001,apsidal_n_minus1_deg,8,8,0,0.39663751949,0.0596215072686,1.09861364095,1.7950748905,2.49153614006,3,3,3,3,3,2,1
CM_APSIDAL_001,precession_per_period_deg,8,8,0,1.0578652294,0.146446611246,2.56740702212,4.29125368869,6.01510035526,3,3,3,3,3,5,3
CM_FOUCAULT_001,period_hours,8,8,0,0.00374175354988,0.00273093582124,0.00718612333334,0.0109196959667,0.0146532686001,7,7,8,8,8,0,0
CM_FOUCAULT_001,rate_deg_per_day,8,8,0,0.00340402444115,0.00243473977909,0.00673167552222,0.00991048653381,0.0130892975454,7,7,8,8,8,0,0
CM_FOUCAULT_001,rate_deg_per_hour,8,8,0,0.00331456606476,0.00231008100866,0.00670589283143,0.00989761521231,0.0130893375932,7,7,8,8,8,0,0
CM_KAPITZA_001,f_min_hz,8,8,0,2.96384962748,1.06923735306,8.91653414594,8.94761847125,8.97870279655,1,1,1,1,1,7,4
CM_KAPITZA_001,omega_min_rad_s,8,8,0,2.88313993524,1.06865087101,8.9333190934,8.96688954214,9.00045999087,2,2,2,2,2,6,4
CM_TOP_001,precession_double_spin,8,8,0,0.247459480122,0,0.985910091743,0.992762385321,0.999614678899,6,6,6,6,6,2,0
CM_TOP_001,precession_period_s,8,8,0,87.666264521,0.00118984810408,229.617803745,441.445570467,653.273337189,6,6,6,6,6,2,2
CM_TOP_001,precession_rad_s,8,8,0,0.247456422018,0,0.985910091743,0.992762385321,0.999614678899,6,6,6,6,6,2,0
COS_AGE_001,hubble_time_gyr,8,7,1,0.0739067053306,0.00225794396805,0.205925348965,0.35239818849,0.498871028016,5,6,6,6,6,1,0
COS_AGE_001,lcdm_age_gyr,8,8,0,0.221022613526,0.167299226018,0.473958653252,0.624334654292,0.774710655333,1,1,1,3,3,5,0
COS_AGE_001,matter_age_gyr,8,8,0,0.616812971264,0.00227580555495,1.83734522498,2.92449635734,4.01164748971,5,6,6,6,6,2,1
COS_CMB_001,T_rec_K,8,8,0,1.12022015016,8.74934379921e-05,2.68858335625,5.82479730687,8.96101125749,7,7,7,7,7,1,1
COS_CMB_001,log10_energy_ratio,8,8,0,0.208842412466,0.000128953791887,0.667083883003,0.667521125943,0.667958368883,5,5,5,5,5,3,0
COS_CMB_001,log10_number_ratio,8,8,0,0.2091437852,0.0001399396539,0.667083892124,0.667521135052,0.66795837798,5,5,5,5,5,3,0
COS_DESITTER_001,efolds_to_gh,8,8,0,0.348167549216,0.313244353089,0.8038965654,0.808558800038,0.813221034676,2,2,2,3,3,5,0
COS_DESITTER_001,gh_temp_e30_K,8,8,0,0.846175700362,0.622885894699,1.77831564886,2.83677341171,3.89523117457,2,2,2,2,2,6,1
COS_DESITTER_001,horizon_gpc,8,8,0,0.759748645089,0.455548527359,2.0821325275,2.0821325275,2.0821325275,3,4,4,4,4,4,2
COS_DL_001,dl_eds_mpc,8,8,0,6.25442692424,0.000803473626189,15.4068785253,32.2207408431,49.0346031609,6,6,6,6,6,2,1
COS_DL_001,dl_lcdm_mpc,8,8,0,6.31737583456,0.000945210468944,15.5585080762,32.5492562063,49.5400043364,6,6,6,6,6,2,1
COS_DL_001,dl_linear_mpc,8,8,0,0.175270525401,0.00066560046684,0.580378233197,0.789688772124,0.99899931105,6,6,6,6,6,2,0
COS_DL_001,hubble_distance_mpc,8,8,0,1.37589604502,0.000691284902171,3.40137661569,6.20414940225,9.00692218882,5,5,5,5,5,3,1
GR_CHIRP_001,chirp_mass_msun,8,8,0,0.918674107142,0.913214285714,1.62196785714,2.35705535714,3.09214285714,0,0,0,0,0,8,1
GR_CHIRP_001,each_mass_msun,8,8,0,0.91542319919,0.911701300174,1.62216904264,2.35750016307,3.09283128351,0,0,0,0,0,7,1
GR_CHIRP_001,total_mass_msun,8,8,0,0.91542319919,0.911701300174,1.62216904264,2.35750016307,3.09283128351,0,0,0,0,0,7,1
GR_GPS_001,grav_shift_us_day,8,8,0,205.331259563,0.0389485630565,496.837904295,1063.76698166,1630.69605903,2,2,3,3,5,3,2
GR_GPS_001,net_shift_us_day,8,8,0,2.63989666922,0.592371491353,7.54666627816,10.2462285985,12.9457909188,2,2,2,2,4,4,4
GR_GPS_001,velocity_shift_us_day,8,8,0,1254.20356542,1.99957618524,3010.89441786,6510.76000883,10010.6255998,0,0,0,0,0,8,8
GR_ISCO_001,f_gw_hz,8,8,0,5193.62481305,0.999999317569,12466.6109294,27001.4644528,41536.3179761,0,0,0,0,0,8,2
GR_ISCO_001,f_orbital_hz,8,8,0,5193.62482486,0.999999317569,12466.6109578,27001.4645142,41536.3180706,0,0,0,0,0,8,2
GR_ISCO_001,r_isco_km,8,8,0,2524.26286876,0.858632732986,6067.61421894,13031.0241094,19994.4339998,3,3,3,3,3,5,3
GR_PERI_001,advance_arcsec_century,8,8,0,6.16609151821,0.000460491024148,15.9070843026,30.7189018722,45.5307194418,5,5,5,5,5,3,2
GR_PERI_001,advance_arcsec_orbit,8,8,0,81.5604544225,24.1893427103,197.742223424,305.971869083,414.201514742,1,1,1,1,1,7,5
GR_PERI_001,orbits_per_century,8,8,0,0.000761675461837,0.000313099794589,0.00185913118569,0.0019855753335,0.00211201948132,8,8,8,8,8,0,0
QFT_CASIMIR_001,energy_per_area_uJ_m2,8,8,0,60.7479809634,6.31122007499,192.089126046,241.838188636,291.587251226,1,1,1,1,1,7,5
QFT_CASIMIR_001,pressure_double_d_pa,8,8,0,750.415274206,0.999994946922,2076.97272634,3683.88294677,5290.79316719,1,1,1,1,1,7,3
QFT_CASIMIR_001,pressure_pa,8,8,0,155.281384155,0.999994922307,580.075231336,640.62018014,701.165128944,1,1,1,1,1,7,3
QFT_G2_001,anomaly_times_1e3,8,8,0,1.22580252129,0.77774106474,3.05396027243,4.14116892398,5.22837757553,3,3,3,3,3,5,2
QFT_G2_001,g_factor,8,8,0,0.00071528389151,0.000505213194876,0.00155047141245,0.00200605610833,0.00246164080421,8,8,8,8,8,0,0
QFT_UNRUH_001,accel_for_1K_e20,7,7,0,10.6053038651,0.174399239604,29.5956042842,51.4011761973,73.2067481103,2,2,2,2,2,5,1
QFT_UNRUH_001,unruh_temp_K,7,7,0,2.47605977368,0.998308265578,6.85201516149,7.85817790832,8.86434065514,2,2,2,2,2,5,3
QFT_YUKAWA_001,mass_for_2fm_mev,8,8,0,6.52470331224e-05,3.53727604811e-05,0.000135774641663,0.000252910169709,0.000370045697755,8,8,8,8,8,0,0
QFT_YUKAWA_001,nonreduced_fm,8,8,0,0.0942301671935,0.00174484726902,0.225490439982,0.484189376041,0.742888312101,7,7,7,7,7,1,0
QFT_YUKAWA_001,range_fm,8,8,0,0.00144625804823,0.000707303116873,0.00320295143445,0.0037866886968,0.00437042595916,8,8,8,8,8,0,0
QI_CLONE_001,classical_fidelity,8,8,0,2.5249987375e-05,4.9999975007e-07,6.47999675999e-05,8.2649958675e-05,0.00010049994975,8,8,8,8,8,0,0
QI_CLONE_001,optimal_fidelity,8,8,0,1.510000604e-05,4.00000160056e-07,3.96000158399e-05,3.96000158399e-05,3.96000158399e-05,8,8,8,8,8,0,0
QI_CLONE_001,quantum_advantage,8,8,0,0.000126499747001,1.99999600012e-06,0.000401999196002,0.000401999196002,0.000401999196002,8,8,8,8,8,0,0
QI_HOLEVO_001,avg_state_purity,8,8,0,0.317092231765,0.138368927062,0.866666666666,1.1,1.33333333333,2,2,2,2,2,5,1
QI_HOLEVO_001,eigenvalue_large,8,8,0,0.150336063632,0.0667175910577,0.450032157713,0.491820831681,0.533609505649,3,3,3,3,3,3,0
QI_HOLEVO_001,holevo_chi_bits,8,7,1,0.232019852078,0.219472902895,0.421038075536,0.474197400691,0.527356725847,2,2,2,2,2,5,0
QI_TELEPORT_001,classical_limit,8,7,1,0.000507071175036,0.00049949975025,0.00100049949975,0.00100049949975,0.00100049949975,7,7,7,7,7,0,0
QI_TELEPORT_001,f_threshold,8,8,0,0,0,0,0,0,8,8,8,8,8,0,0
QI_TELEPORT_001,teleport_fidelity,8,8,0,0.0448301052965,0.000356785841709,0.107392538354,0.232267582953,0.357142627551,7,7,7,7,7,1,0
QI_WERNER_001,chsh_S_at_p05,8,8,0,7.70635891926e-05,8.06101481107e-05,0.000151320804348,0.000151320804348,0.000151320804348,8,8,8,8,8,0,0
QI_WERNER_001,chsh_threshold,8,8,0,7.71519775129e-05,8.06101481107e-05,0.000151320804348,0.000151320804348,0.000151320804348,8,8,8,8,8,0,0
QI_WERNER_001,concurrence_at_p05,8,8,0,0.25,0,1,1,1,6,6,6,6,6,2,0
QI_WERNER_001,entanglement_threshold,8,8,0,0.000512125512126,0.000549000549001,0.000999000999001,0.000999000999001,0.000999000999001,8,8,8,8,8,0,0
QM_AB_001,flux_quanta,8,8,0,0.246443581953,0.0949585306708,0.747372977265,0.824004648556,0.900636319847,4,4,4,4,4,4,0
QM_AB_001,fringe_shift,8,8,0,0.297125904235,0.0995660145148,0.747372977265,0.824004648556,0.900636319847,4,4,4,4,4,4,0
QM_AB_001,total_phase_rad,8,8,0,0.248115383048,0.10086478517,0.747378936519,0.823950519174,0.900522101829,4,4,4,4,4,4,0
QM_BERRY_001,berry_phase_rad,8,8,0,1.08495744212e-06,2.08044135888e-07,2.54647961918e-06,2.54647961918e-06,2.54647961918e-06,8,8,8,8,8,0,0
QM_BERRY_001,solid_angle_sr,8,8,0,5.8616962134e-07,1.10265781322e-07,1.33690137456e-06,1.78253516609e-06,2.22816895762e-06,8,8,8,8,8,0,0
QM_RT_001,energy_unit_ev,8,8,0,3.64325071303,1.54753511313,10.0586850675,11.5926042544,13.1265234413,1,1,1,1,1,7,4
QM_RT_001,first_resonance_ev,8,8,0,6.68872414665,2.7063145636,18.450851292,21.6741275341,24.8974037763,1,1,1,1,1,7,4
QM_RT_001,n_lowest,8,8,0,0.125,0,0.3,0.65,1,7,7,7,7,7,1,0
QM_TUNNEL_001,kappa_L,7,7,0,32.2947793538,0.72477961386,89.6077823348,156.197569433,222.787356532,1,1,1,1,1,6,1
QM_TUNNEL_001,kappa_per_nm,7,6,1,439182055.651,111.804378034,1317546054.99,1976317428.73,2635088802.47,1,1,1,1,1,5,3
QM_TUNNEL_001,log10_T,7,7,0,36.7142104131,0.702058961001,102.018818168,177.888035501,253.757252833,1,1,1,1,1,6,1
QM_TUNNEL_001,prefactor,7,7,0,0.128571428571,0,0.36,0.63,0.9,6,6,6,6,6,1,0
SR_BELL_001,gamma_factor,8,8,0,0.00030739993852,1.97999960401e-05,0.00073979985204,0.00136979972604,0.00199979960004,8,8,8,8,8,0,0
SR_BELL_001,lab_separation_m,8,8,0,0,0,0,0,0,8,8,8,8,8,0,0
SR_BELL_001,proper_separation_m,8,8,0,0.00032999899934,0.00010999799978,0.00073999799852,0.00136999799726,0.001999997996,8,8,8,8,8,0,0
SR_FIZEAU_001,delta_v_ms,8,8,0,0.00105244836336,0.000677921753557,0.00178720667419,0.00178720667419,0.00178720667419,8,8,8,8,8,0,0
SR_FIZEAU_001,drag_coefficient,8,8,0,0.0016233283549,0.00067700626002,0.00315860015233,0.00475962846994,0.00636065678756,8,8,8,8,8,0,0
SR_ROCKET_001,distance_ly,8,7,1,2336.09724078,0.722319484938,6540.7103165,11444.8357155,16348.9611146,1,1,1,1,2,4,2
SR_ROCKET_001,final_beta,8,8,0,0.277776209836,0.0438966260279,0.894338238996,0.92651188372,0.958685528444,2,2,3,4,4,3,0
SR_ROCKET_001,lab_time_yr,8,7,1,100.321873103,0.144093105148,280.777017721,491.18100409,701.58499046,1,1,1,1,1,4,1
SR_TWIN_001,doppler_k_approach,8,8,0,0,0,0,0,0,8,8,8,8,8,0,0
SR_TWIN_001,doppler_k_recede,8,8,0,0,0,0,0,0,8,8,8,8,8,0,0
SR_TWIN_001,earth_time_yr,8,8,0,0.0625,0,0.15,0.325,0.5,7,7,7,7,7,1,0
