scenario_id,numeric_field_count,included_count,excluded_count,mean_rel_error,median_rel_error,p90_rel_error,p95_rel_error,max_rel_error,fields_with_rel_error_lte_1_percent,fields_with_rel_error_lte_1_25_percent,fields_with_rel_error_lte_2_percent,fields_with_rel_error_lte_3_percent,fields_with_rel_error_lte_5_percent,fields_with_rel_error_gt_10_percent,fields_with_rel_error_gt_100_percent
CM_APSIDAL_001,32,32,0,0.363625687223,8.6816998986e-07,1.00871844803,1.72059455381,6.01510035526,22,22,22,22,22,7,4
CM_FOUCAULT_001,24,24,0,0.00348678135193,0.00239103215066,0.0103646023926,0.013089331586,0.0146532686001,21,21,24,24,24,0,0
CM_KAPITZA_001,16,16,0,2.92349478136,1.06869242223,8.9416236098,8.98414209513,9.00045999087,3,3,3,3,3,13,8
CM_TOP_001,24,24,0,29.387060141,6.78540741302e-05,0.999614678899,40.993416773,653.273337189,18,18,18,18,18,6,2
COS_AGE_001,24,23,1,0.313914418071,0.0106282295972,0.71954272987,0.892422323047,4.01164748971,11,13,13,15,15,8,1
COS_CMB_001,24,24,0,0.512735449274,0.000128967488229,0.667583591959,0.667958376615,8.96101125749,17,17,17,17,17,7,1
COS_DESITTER_001,24,24,0,0.651363964889,0.499525139819,1.75749276925,2.0821325275,3.89523117457,7,8,8,9,9,15,3
COS_DL_001,32,32,0,3.53074233231,0.000692285594456,0.998999878442,27.0193786263,49.5400043364,23,23,23,23,23,9,3
GR_CHIRP_001,24,24,0,0.916506835174,0.913214285714,2.46206785714,3.09272801955,3.09283128351,0,0,0,0,0,22,3
GR_GPS_001,24,24,0,487.391573885,1.85358288671,12.3649413231,1388.03351881,10010.6255998,4,4,5,5,9,15,14
GR_ISCO_001,24,24,0,4303.83750222,0.999999199281,14025.7969509,38305.0353797,41536.3180706,3,3,3,3,3,21,7
GR_PERI_001,24,24,0,29.2424358721,0.00166645438902,72.0611904065,101.742571197,414.201514742,14,14,14,14,14,10,7
QFT_CASIMIR_001,24,24,0,322.148213108,0.999999998738,648.188644468,700.933525928,5290.79316719,3,3,3,3,3,21,11
QFT_G2_001,16,16,0,0.61325890259,0.00104958091177,1.51109941795,2.89864475078,5.22837757553,11,11,11,11,11,5,2
QFT_UNRUH_001,14,14,0,6.54068181936,0.191907775133,7.85817790831,31.3841832644,73.2067481103,4,4,4,4,4,10,4
QFT_YUKAWA_001,24,24,0,0.0319138907583,0.000337049702865,0.00343472791433,0.00427713628346,0.742888312101,23,23,23,23,23,1,0
QI_CLONE_001,24,24,0,5.56165801386e-05,1.99999600012e-06,0.000168749707726,0.000371399257202,0.000401999196002,24,24,24,24,24,0,0
QI_HOLEVO_001,24,23,1,0.23319849251,0.138071187457,0.532358949689,0.653360950565,1.33333333333,7,7,7,7,7,13,1
QI_TELEPORT_001,24,23,1,0.0157474061129,3.53571554846e-05,0.00090029954985,0.00100049949975,0.357142627551,22,22,22,22,22,1,0
QI_WERNER_001,32,32,0,0.0626665852697,9.89949187335e-06,0.000999000999001,0.450549450549,1,30,30,30,30,30,2,0
QM_AB_001,24,24,0,0.263894956412,0.0961043540296,0.834889316696,0.900619187144,0.900636319847,12,12,12,12,12,12,0
QM_BERRY_001,16,16,0,8.35563531732e-07,2.08044135888e-07,2.54647961918e-06,2.54647961918e-06,2.54647961918e-06,16,16,16,16,16,0,0
QM_RT_001,24,24,0,3.48565828656,0.7612861957,11.8117355668,15.3038151379,24.8974037763,9,9,9,9,9,15,8
QM_TUNNEL_001,28,27,1,97596030.2913,0.669149961342,235.175315052,2391.37744646,2635088802.47,9,9,9,9,9,18,5
SR_BELL_001,24,24,0,0.00021246631262,9.999998e-06,0.0001999979996,0.00172982935997,0.001999997996,24,24,24,24,24,0,0
SR_FIZEAU_001,16,16,0,0.00133788835913,0.000677463991096,0.00178720667419,0.00293056920253,0.00636065678756,16,16,16,16,16,0,0
SR_ROCKET_001,24,22,2,775.32527304,0.109506113578,1.78877757931,666.599563492,16348.9611146,4,4,5,6,7,11,3
SR_TWIN_001,32,32,0,0.05,0,0,0.5,0.6,29,29,29,29,29,3,0
STAT_BEC_001,24,24,0,2.08717451441,0.330739667949,2.90081580968,16.0080434679,18.3512413407,11,11,11,11,11,13,6
STAT_ISING_001,24,24,0,0.0506252597834,8.15270680882e-05,0.000521773465704,0.51483697895,0.605687330776,22,22,22,22,22,2,0
STAT_LANDAUER_001,16,16,0,8.01503845758,0.55126746407,9.03142133746,33.0737427895,104.887225229,6,6,6,6,6,10,3
STAT_NEGT_001,16,16,0,133.577916784,0.00108678588195,534.308406777,1068.3427031,1068.3427031,12,12,12,12,12,4,2
