batch,scenario_id,model_name,deterministic_grade,error_tags,failed_fields,contains_mismatch,contains_not_found,contains_unparseable,contains_gold_data_issue,would_be_not_gradeable_under_phase2_rule,reason
V2,CM_FOUCAULT_001,Mistral NeMo 12B,FAIL,period_hours:MISMATCH;rate_deg_per_day:MISMATCH;rate_deg_per_hour:MISMATCH,period_hours;rate_deg_per_day;rate_deg_per_hour,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V2,COS_CMB_001,Llama 3.1 8B Instruct,FAIL,T_rec_K:MISMATCH;log10_energy_ratio:MISMATCH;log10_number_ratio:MISMATCH,T_rec_K;log10_energy_ratio;log10_number_ratio,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V2,COS_CMB_001,Mistral NeMo 12B,FAIL,log10_energy_ratio:MISMATCH;log10_number_ratio:MISMATCH,log10_energy_ratio;log10_number_ratio,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V2,COS_CMB_001,Mistral Small 3.2 24B Instruct,FAIL,log10_energy_ratio:MISMATCH;log10_number_ratio:MISMATCH,log10_energy_ratio;log10_number_ratio,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V2,GR_ISCO_001,Gemma 3 12B IT,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V2,GR_ISCO_001,Gemma 3 27B IT,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH,f_gw_hz;f_orbital_hz,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V2,GR_ISCO_001,Gemma 4 31B IT,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH,f_gw_hz;f_orbital_hz,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V2,GR_ISCO_001,Granite 4.1 8B,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH,f_gw_hz;f_orbital_hz,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V2,GR_ISCO_001,Llama 3.1 8B Instruct,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V2,GR_ISCO_001,Ministral 3 8B,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V2,GR_ISCO_001,Mistral NeMo 12B,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V2,GR_ISCO_001,Mistral Small 3.2 24B Instruct,FAIL,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
V2,QI_TELEPORT_001,Ministral 3 8B,FAIL,classical_limit:UNPARSEABLE:parse-fail:TokenError,classical_limit,False,False,True,False,True,UNPARSEABLE
V2,QI_TELEPORT_001,Mistral NeMo 12B,FAIL,teleport_fidelity:MISMATCH,teleport_fidelity,True,False,False,False,False,all_failed_fields_are_gradeable_mismatch
