scenario_id,field_name,expected_value_num,tolerance,tolerance_mode,field_index
CM_APSIDAL_001,apsidal_harmonic_deg,90.0,0.01,relative,0
CM_APSIDAL_001,apsidal_kepler_deg,180.0,0.01,relative,1
CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,0.01,relative,2
CM_APSIDAL_001,precession_per_period_deg,-105.441559,0.01,relative,3
CM_FOUCAULT_001,period_hours,31.872957,0.01,relative,0
CM_FOUCAULT_001,rate_deg_per_day,271.076197,0.01,relative,1
CM_FOUCAULT_001,rate_deg_per_hour,11.294842,0.01,relative,2
CM_KAPITZA_001,f_min_hz,15.763572,0.01,relative,0
CM_KAPITZA_001,omega_min_rad_s,99.045444,0.01,relative,1
CM_TOP_001,precession_double_spin,2.04375,0.01,relative,0
CM_TOP_001,precession_period_s,1.537171,0.01,relative,1
CM_TOP_001,precession_rad_s,4.0875,0.01,relative,2
COS_AGE_001,hubble_time_gyr,13.96846,0.01,relative,0
COS_AGE_001,lcdm_age_gyr,13.466984,0.01,relative,1
COS_AGE_001,matter_age_gyr,9.312307,0.01,relative,2
COS_CMB_001,T_rec_K,3000.225,0.01,relative,0
COS_CMB_001,log10_energy_ratio,12.167149,0.01,relative,1
COS_CMB_001,log10_number_ratio,9.125362,0.01,relative,2
COS_DESITTER_001,efolds_to_gh,69.065593,0.01,relative,0
COS_DESITTER_001,gh_temp_e30_K,2.757786,0.01,relative,1
COS_DESITTER_001,horizon_gpc,4.282749,0.01,relative,2
COS_DL_001,dl_eds_mpc,899.377374,0.01,relative,0
COS_DL_001,dl_lcdm_mpc,989.315111,0.01,relative,1
COS_DL_001,dl_linear_mpc,856.54988,0.01,relative,2
COS_DL_001,hubble_distance_mpc,4282.7494,0.01,relative,3
GR_CHIRP_001,chirp_mass_msun,28.0,0.01,relative,0
GR_CHIRP_001,each_mass_msun,32.163554,0.01,relative,1
GR_CHIRP_001,total_mass_msun,64.327108,0.01,relative,2
