scenario_id,model_name,prompt_mode,raw_helper_status,review_status,field_count,numeric_field_count,normalized_final_answer,extraction_status,deterministic_grade,numeric_match_count,numeric_total_count,failed_fields,error_tags,primary_failure_mode,output_path_or_run_id
CM_APSIDAL_001,Gemma 3 12B IT,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""apsidal_harmonic_deg"": ""90"", ""apsidal_kepler_deg"": ""180"", ""apsidal_n_minus1_deg"": ""444.4"", ""precession_per_period_deg"": ""528.8""}",OK,FAIL,2,4,apsidal_n_minus1_deg;precession_per_period_deg,apsidal_n_minus1_deg:MISMATCH;precession_per_period_deg:MISMATCH,numeric_mismatch,d3255966-d397-4024-81e3-275d475b382f
CM_APSIDAL_001,Gemma 3 27B IT,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""apsidal_harmonic_deg"": ""90"", ""apsidal_kepler_deg"": ""180"", ""apsidal_n_minus1_deg"": ""135"", ""precession_per_period_deg"": ""-90""}",OK,FAIL,2,4,apsidal_n_minus1_deg;precession_per_period_deg,apsidal_n_minus1_deg:MISMATCH;precession_per_period_deg:MISMATCH,numeric_mismatch,d678fa6d-f25c-4af8-bc83-9067f0531bcc
CM_APSIDAL_001,Gemma 4 31B IT,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""apsidal_harmonic_deg"": ""90^\\circ"", ""apsidal_kepler_deg"": ""180^\\circ"", ""apsidal_n_minus1_deg"": ""127.28^\\circ"", ""precession_per_period_deg"": ""-105.44^\\circ""}",OK,PASS,4,4,,,none,4626221f-f5e2-47b7-9c73-7930e0977b54
CM_APSIDAL_001,Granite 4.1 8B,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""apsidal_harmonic_deg"": ""90"", ""apsidal_kepler_deg"": ""180"", ""apsidal_n_minus1_deg"": ""180/\\sqrt{2} \\approx 127.279"", ""precession_per_period_deg"": ""-105.44""}",OK,PASS,4,4,,,none,d410a814-2896-4137-8dcd-4ea1e3fde257
CM_APSIDAL_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""apsidal_harmonic_deg"": ""90"", ""apsidal_kepler_deg"": ""180"", ""apsidal_n_minus1_deg"": ""63.43"", ""precession_per_period_deg"": ""6.86""}",OK,FAIL,2,4,apsidal_n_minus1_deg;precession_per_period_deg,apsidal_n_minus1_deg:MISMATCH;precession_per_period_deg:MISMATCH,numeric_mismatch,c5b81f9e-4521-4354-8a5d-745ff4c05bcf
CM_APSIDAL_001,Ministral 3 8B,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""apsidal_harmonic_deg"": ""90"", ""apsidal_kepler_deg"": ""180"", ""apsidal_n_minus1_deg"": ""134.7356"", ""precession_per_period_deg"": ""9.4712""}",OK,FAIL,2,4,apsidal_n_minus1_deg;precession_per_period_deg,apsidal_n_minus1_deg:MISMATCH;precession_per_period_deg:MISMATCH,numeric_mismatch,8d88ebb6-c7fb-48bf-8150-c24d1049670c
CM_APSIDAL_001,Mistral NeMo 12B,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""apsidal_harmonic_deg"": ""90^\\circ"", ""apsidal_kepler_deg"": ""180^\\circ"", ""apsidal_n_minus1_deg"": ""135^\\circ"", ""precession_per_period_deg"": ""-90^\\circ""}",OK,FAIL,2,4,apsidal_n_minus1_deg;precession_per_period_deg,apsidal_n_minus1_deg:MISMATCH;precession_per_period_deg:MISMATCH,numeric_mismatch,4e065114-6895-4037-9f9c-d85e9790bfc5
CM_APSIDAL_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""apsidal_harmonic_deg"": ""90"", ""apsidal_kepler_deg"": ""180"", ""apsidal_n_minus1_deg"": ""127.28"", ""precession_per_period_deg"": ""-105.44""}",OK,PASS,4,4,,,none,e4082586-1169-4679-b9af-5b1bc02b93ae
COS_DL_001,Gemma 3 12B IT,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""dl_eds_mpc"": ""899.33"", ""dl_lcdm_mpc"": ""988.25"", ""dl_linear_mpc"": ""856.55"", ""hubble_distance_mpc"": ""4.283""}",OK,FAIL,3,4,hubble_distance_mpc,hubble_distance_mpc:MISMATCH,numeric_mismatch,95f6ba98-9ad9-4743-98f6-e08bef51a990
COS_DL_001,Gemma 3 27B IT,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""dl_eds_mpc"": ""900.0"", ""dl_lcdm_mpc"": ""990.4"", ""dl_linear_mpc"": ""857.1"", ""hubble_distance_mpc"": ""4285.7""}",OK,PASS,4,4,,,none,218ab9ee-bcb4-4ea8-9ea5-27f50255759c
COS_DL_001,Gemma 4 31B IT,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""dl_eds_mpc"": ""899.38"", ""dl_lcdm_mpc"": ""989.32"", ""dl_linear_mpc"": ""856.55"", ""hubble_distance_mpc"": ""4282.75""}",OK,PASS,4,4,,,none,9b43c249-fc19-463d-9f32-928d33522cd0
COS_DL_001,Granite 4.1 8B,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""dl_eds_mpc"": ""900.2"", ""dl_lcdm_mpc"": ""990.0"", ""dl_linear_mpc"": ""856.7"", ""hubble_distance_mpc"": ""4283.5""}",OK,PASS,4,4,,,none,34cd051f-7d65-45c5-8ebf-a814fb4f5ed9
COS_DL_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""dl_eds_mpc"": ""902.49"", ""dl_lcdm_mpc"": ""988.51"", ""dl_linear_mpc"": ""857.14"", ""hubble_distance_mpc"": ""4285.71""}",OK,PASS,4,4,,,none,b4d6a91d-fa00-46eb-bfa4-4bd21487259c
COS_DL_001,Ministral 3 8B,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""dl_eds_mpc"": ""4.500"", ""dl_lcdm_mpc"": ""4.937"", ""dl_linear_mpc"": ""0.85714"", ""hubble_distance_mpc"": ""4.28571""}",OK,FAIL,0,4,dl_eds_mpc;dl_lcdm_mpc;dl_linear_mpc;hubble_distance_mpc,dl_eds_mpc:MISMATCH;dl_lcdm_mpc:MISMATCH;dl_linear_mpc:MISMATCH;hubble_distance_mpc:MISMATCH,numeric_mismatch,7e158b39-fc5d-4ba7-86a6-70440815a664
COS_DL_001,Mistral NeMo 12B,structured_prompt_pilot_v3,OK,CLEAN,4,4,"{""dl_eds_mpc"": ""44999.99"", ""dl_lcdm_mpc"": ""49999.99"", ""dl_linear_mpc"": ""1200"", ""hubble_distance_mpc"": ""42857.14""}",OK,FAIL,0,4,dl_eds_mpc;dl_lcdm_mpc;dl_linear_mpc;hubble_distance_mpc,dl_eds_mpc:MISMATCH;dl_lcdm_mpc:MISMATCH;dl_linear_mpc:MISMATCH;hubble_distance_mpc:MISMATCH,numeric_mismatch,4f06ea18-7b13-4c03-a4a7-37036abe296d
